第8屆區域立法委員選舉臺東縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
謝文漢
綠黨","2
吳俊立
無黨籍及未經政黨推薦","3
林正杰
無黨籍及未經政黨推薦","4
饒慶鈴
中國國民黨","5
劉櫂豪
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,551,"19,016","2,365","22,553","31,685","76,170","1,391","77,561",6,"77,567","41,349","118,916",65.22
　　,南田村,204,2,7,3,26,11,49,0,49,0,49,69,118,41.53
　　,森永村,205,0,3,0,6,16,25,0,25,0,25,38,63,39.68
　　,新化村,206,0,5,0,2,1,8,0,8,0,8,0,8,100.00
　　,台村,207,0,1,1,6,4,12,1,13,0,13,12,25,52.00
　　,土村,208,0,2,1,3,3,9,0,9,0,9,6,15,60.00
　蘭嶼鄉,,,11,41,8,74,70,204,9,213,0,213,347,560,38.04
　　,椰油村,209,2,12,2,21,20,57,3,60,0,60,102,162,37.04
　　,紅頭村,210,4,21,4,37,34,100,5,105,0,105,146,251,41.83
　　,東清村,211,3,7,2,13,7,32,1,33,0,33,70,103,32.04
　　,朗島村,212,2,1,0,3,9,15,0,15,0,15,29,44,34.09
