第8屆區域立法委員選舉嘉義縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
蔡易餘
民主進步黨","2
翁重鈞
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"72,586","73,481","146,067","3,745","149,812",5,"149,817","53,141","202,958",73.81
　六腳鄉,,,"8,253","6,980","15,233",383,"15,616",2,"15,618","6,113","21,731",71.86
　　,蒜頭村,1,429,484,913,35,948,0,948,305,"1,253",75.66
　　,蒜東村,2,308,288,596,25,621,0,621,232,853,72.80
　　,蒜南村,3,362,278,640,26,666,0,666,214,880,75.68
　　,工廠村,4,76,104,180,4,184,0,184,59,243,75.72
　　,灣南村,5,413,476,889,20,909,1,910,303,"1,213",74.94
　　,灣北村,6,327,563,890,14,904,0,904,310,"1,214",74.46
　　,雙涵村,7,355,260,615,25,640,0,640,270,910,70.33
　　,塗師村,8,299,158,457,10,467,0,467,193,660,70.76
　　,三義村,9,218,203,421,5,426,0,426,163,589,72.33
　　,三義村,10,71,44,115,0,115,0,115,69,184,62.50
　　,正義村,11,140,31,171,5,176,0,176,50,226,77.88
　　,正義村,12,135,53,188,7,195,0,195,61,256,76.17
　　,正義村,13,157,107,264,0,264,0,264,97,361,73.13
　　,正義村,14,264,156,420,9,429,0,429,144,573,74.87
　　,溪厝村,15,257,202,459,10,469,0,469,191,660,71.06
　　,港美村,16,353,196,549,20,569,0,569,205,774,73.51
　　,豐美村,17,392,386,778,19,797,0,797,295,"1,092",72.99
　　,六斗村,18,288,383,671,12,683,0,683,261,944,72.35
　　,崙陽村,19,417,339,756,8,764,0,764,256,"1,020",74.90
　　,蘇厝村,20,561,516,"1,077",25,"1,102",0,"1,102",379,"1,481",74.41
　　,竹本村,21,280,174,454,11,465,0,465,230,695,66.91
　　,永賢村,22,193,156,349,3,352,0,352,192,544,64.71
　　,魚寮村,23,301,176,477,11,488,0,488,229,717,68.06
　　,潭墘村,24,317,267,584,15,599,0,599,307,906,66.11
　　,六腳村,25,254,279,533,12,545,0,545,271,816,66.79
　　,六南村,26,242,150,392,11,403,0,403,180,583,69.13
　　,崩山村,27,280,208,488,17,505,1,506,210,716,70.53
　　,古林村,28,365,167,532,15,547,0,547,236,783,69.86
　　,更寮村,29,162,113,275,6,281,0,281,155,436,64.45
　　,更寮村,30,37,63,100,3,103,0,103,46,149,69.13
　東石鄉,,,"6,970","8,775","15,745",378,"16,123",0,"16,123","6,602","22,725",70.95
　　,東石村,31,555,757,"1,312",35,"1,347",0,"1,347",496,"1,843",73.09
　　,猿樹村,32,295,371,666,15,681,0,681,322,"1,003",67.90
　　,型厝村,33,296,700,996,9,"1,005",0,"1,005",370,"1,375",73.09
　　,塭港村,34,381,749,"1,130",24,"1,154",0,"1,154",428,"1,582",72.95
　　,三家村,35,344,518,862,9,871,0,871,327,"1,198",72.70
　　,永屯村,36,164,337,501,12,513,0,513,193,706,72.66
　　,海埔村,37,152,157,309,7,316,0,316,124,440,71.82
　　,龍港村,38,207,409,616,18,634,0,634,251,885,71.64
　　,副瀨村,39,397,324,721,19,740,0,740,317,"1,057",70.01
　　,下揖村,40,328,192,520,24,544,0,544,274,818,66.50
　　,頂揖村,41,83,67,150,1,151,0,151,43,194,77.84
　　,頂揖村,42,65,68,133,3,136,0,136,93,229,59.39
　　,溪下村,43,232,420,652,17,669,0,669,365,"1,034",64.70
　　,港口村,44,69,163,232,4,236,0,236,121,357,66.11
　　,鰲鼓村,45,377,368,745,17,762,0,762,311,"1,073",71.02
　　,鰲鼓村,46,83,92,175,6,181,0,181,75,256,70.70
　　,港墘村,47,475,413,888,28,916,0,916,314,"1,230",74.47
　　,蔦松村,48,327,324,651,16,667,0,667,244,911,73.22
　　,圍潭村,49,288,221,509,14,523,0,523,227,750,69.73
　　,洲仔村,50,316,300,616,13,629,0,629,245,874,71.97
　　,東崙村,51,127,129,256,5,261,0,261,141,402,64.93
　　,東崙村,52,121,120,241,5,246,0,246,127,373,65.95
　　,西崙村,53,417,394,811,24,835,0,835,326,"1,161",71.92
　　,塭仔村,54,319,317,636,20,656,0,656,293,949,69.13
　　,網寮村,55,318,516,834,25,859,0,859,396,"1,255",68.45
　　,掌潭村,56,180,134,314,6,320,0,320,105,425,75.29
　　,掌潭村,57,54,215,269,2,271,0,271,74,345,78.55
　朴子市,,,"13,472","10,360","23,832",702,"24,534",1,"24,535","8,901","33,436",73.38
　　,安福里,58,345,390,735,18,753,0,753,288,"1,041",72.33
　　,安福里,59,285,280,565,17,582,0,582,205,787,73.95
　　,平和里,60,795,707,"1,502",36,"1,538",0,"1,538",519,"2,057",74.77
　　,內厝里,61,499,253,752,18,770,0,770,244,"1,014",75.94
　　,開元里,62,194,127,321,9,330,0,330,112,442,74.66
　　,順天里,63,238,215,453,22,475,0,475,174,649,73.19
　　,中正里,64,281,231,512,15,527,0,527,173,700,75.29
　　,博厚里,65,343,214,557,13,570,0,570,201,771,73.93
　　,文化里,66,340,211,551,18,569,0,569,220,789,72.12
　　,文化里,67,337,360,697,15,712,0,712,239,951,74.87
　　,永和里,68,335,300,635,20,655,1,656,219,875,74.86
　　,永和里,69,660,430,"1,090",25,"1,115",0,"1,115",454,"1,569",71.06
　　,竹圍里,70,447,513,960,26,986,0,986,378,"1,364",72.29
　　,竹圍里,71,447,352,799,32,831,0,831,300,"1,131",73.47
　　,竹圍里,72,558,466,"1,024",47,"1,071",0,"1,071",344,"1,415",75.69
　　,新寮里,73,270,250,520,9,529,0,529,168,697,75.90
　　,雙溪里,74,224,254,478,14,492,0,492,179,671,73.32
　　,溪口里,75,302,316,618,4,622,0,622,195,817,76.13
　　,德興里,76,500,260,760,22,782,0,782,315,"1,097",71.29
　　,仁和里,77,471,392,863,36,899,0,899,330,"1,229",73.15
　　,大鄉里,78,703,400,"1,103",36,"1,139",0,"1,139",405,"1,544",73.77
　　,大鄉里,79,488,438,926,42,968,0,968,379,"1,347",71.86
　　,大葛里,80,658,488,"1,146",39,"1,185",0,"1,185",435,"1,620",73.15
　　,大葛里,81,285,318,603,33,636,0,636,212,848,75.00
　　,佳禾里,82,277,237,514,16,530,0,530,192,722,73.41
　　,竹村里,83,377,317,694,12,706,0,706,276,982,71.89
　　,崁前里,84,432,222,654,11,665,0,665,277,942,70.59
　　,崁後里,85,330,215,545,11,556,0,556,202,758,73.35
　　,順安里,86,94,102,196,4,200,0,200,58,258,77.52
　　,德家里,87,306,240,546,14,560,0,560,202,762,73.49
　　,新庄里,88,246,252,498,15,513,0,513,191,704,72.87
　　,梅華里,89,523,237,760,17,777,0,777,285,"1,062",73.16
　　,松華里,90,617,275,892,24,916,0,916,367,"1,283",71.40
　　,南竹里,91,265,98,363,12,375,0,375,163,538,69.70
　太保市,,,"10,623","9,441","20,064",617,"20,681",1,"20,682","6,731","27,413",75.44
　　,太保里,92,607,857,"1,464",40,"1,504",0,"1,504",587,"2,091",71.93
　　,後庄里,93,178,178,356,3,359,0,359,124,483,74.33
　　,前潭里,94,599,486,"1,085",25,"1,110",0,"1,110",324,"1,434",77.41
　　,後潭里,95,640,542,"1,182",19,"1,201",0,"1,201",338,"1,539",78.04
　　,梅埔里,96,260,286,546,5,551,0,551,174,725,76.00
　　,梅埔里,97,123,185,308,12,320,0,320,88,408,78.43
　　,春珠里,98,397,309,706,23,729,0,729,229,958,76.10
　　,崙頂里,99,258,366,624,16,640,0,640,183,823,77.76
　　,安仁里,100,86,86,172,5,177,0,177,53,230,76.96
　　,安仁里,101,250,159,409,10,419,0,419,138,557,75.22
　　,安仁里,102,383,470,853,38,891,0,891,235,"1,126",79.13
　　,東勢里,103,529,468,997,31,"1,028",0,"1,028",319,"1,347",76.32
　　,新埤里,104,573,303,876,25,901,0,901,307,"1,208",74.59
　　,舊埤里,105,363,212,575,20,595,0,595,249,844,70.50
　　,舊埤里,106,404,327,731,40,771,0,771,325,"1,096",70.35
　　,田尾里,107,155,174,329,8,337,0,337,129,466,72.32
　　,田尾里,108,67,102,169,3,172,0,172,57,229,75.11
　　,港尾里,109,159,76,235,8,243,0,243,66,309,78.64
　　,港尾里,110,104,109,213,0,213,0,213,43,256,83.20
　　,過溝里,111,196,262,458,11,469,0,469,142,611,76.76
　　,過溝里,112,935,559,"1,494",52,"1,546",0,"1,546",484,"2,030",76.16
　　,麻寮里,113,638,560,"1,198",42,"1,240",0,"1,240",431,"1,671",74.21
　　,麻寮里,114,704,637,"1,341",58,"1,399",0,"1,399",485,"1,884",74.26
　　,南新里,115,772,504,"1,276",51,"1,327",0,"1,327",433,"1,760",75.40
　　,北新里,116,434,360,794,20,814,0,814,228,"1,042",78.12
　　,北新里,117,562,568,"1,130",28,"1,158",0,"1,158",407,"1,565",73.99
　　,埤鄉里,118,247,296,543,24,567,1,568,153,721,78.64
　布袋鎮,,,"8,021","9,334","17,355",400,"17,755",0,"17,755","6,637","24,392",72.79
　　,岱江里,119,184,293,477,4,481,0,481,171,652,73.77
　　,九龍里,120,130,156,286,14,300,0,300,114,414,72.46
　　,岑海里,121,90,166,256,1,257,0,257,109,366,70.22
　　,岑海里,122,418,712,"1,130",33,"1,163",0,"1,163",361,"1,524",76.31
　　,興中里,123,406,468,874,13,887,0,887,294,"1,181",75.11
　　,光復里,124,322,415,737,28,765,0,765,243,"1,008",75.89
　　,光復里,125,215,291,506,11,517,0,517,163,680,76.03
　　,見龍里,126,299,325,624,18,642,0,642,268,910,70.55
　　,新厝里,127,267,257,524,15,539,0,539,227,766,70.37
