第8屆區域立法委員選舉屏東縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳俊豪
台灣主義黨","2
蘇震清
民主進步黨","3
吳亮慶
無黨籍及未經政黨推薦","4
羅志明
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
　　,蓬萊里,217,13,428,38,303,782,8,790,0,790,258,"1,048",75.38
　　,蓬萊里,218,10,445,27,211,693,15,708,0,708,301,"1,009",70.17
　　,八爺里,219,15,390,19,296,720,14,734,0,734,288,"1,022",71.82
　　,八爺里,220,16,424,23,311,774,13,787,0,787,277,"1,064",73.97
　　,永春里,221,20,544,37,421,"1,022",14,"1,036",0,"1,036",414,"1,450",71.45
　　,永春里,222,17,412,28,351,808,18,826,0,826,348,"1,174",70.36
　　,永春里,223,20,529,44,501,"1,094",26,"1,120",0,"1,120",414,"1,534",73.01
　　,永春里,224,16,653,36,519,"1,224",27,"1,251",0,"1,251",517,"1,768",70.76
　　,富春里,225,11,417,31,380,839,13,852,0,852,329,"1,181",72.14
　　,光春里,226,15,520,36,323,894,13,907,0,907,349,"1,256",72.21
　　,興美里,227,9,372,23,216,620,8,628,0,628,248,876,71.69
　　,檨子里,228,8,172,27,123,330,9,339,0,339,191,530,63.96
　　,泗林里,229,18,645,49,415,"1,127",15,"1,142",0,"1,142",393,"1,535",74.40
　　,四春里,230,6,441,26,168,641,11,652,0,652,224,876,74.43
　　,四春里,231,7,423,35,180,645,10,655,0,655,308,963,68.02
　　,崙東里,232,7,495,26,250,778,20,798,0,798,372,"1,170",68.21
　　,崙東里,233,5,187,13,53,258,6,264,0,264,71,335,78.81
