第8屆區域立法委員選舉桃園縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
鄭文燦
民主進步黨","2
陳根德
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"82,820","102,648","185,468","2,999","188,467",3,"188,470","64,229","252,699",74.58
　蘆竹鄉,,,"34,441","39,774","74,215","1,106","75,321",3,"75,324","24,357","99,681",75.56
　　,新興村,1,594,376,970,11,981,0,981,279,"1,260",77.86
　　,新興村,2,573,315,888,9,897,0,897,203,"1,100",81.55
　　,新興村,3,532,542,"1,074",18,"1,092",0,"1,092",313,"1,405",77.72
　　,中福村,4,550,626,"1,176",21,"1,197",0,"1,197",354,"1,551",77.18
　　,中福村,5,552,725,"1,277",19,"1,296",0,"1,296",430,"1,726",75.09
　　,中福村,6,623,430,"1,053",15,"1,068",0,"1,068",319,"1,387",77.00
　　,中福村,7,718,465,"1,183",8,"1,191",0,"1,191",331,"1,522",78.25
　　,新莊村,8,520,440,960,11,971,0,971,272,"1,243",78.12
　　,新莊村,9,546,406,952,10,962,0,962,280,"1,242",77.46
　　,新莊村,10,445,566,"1,011",17,"1,028",0,"1,028",314,"1,342",76.60
　　,上竹村,11,537,486,"1,023",10,"1,033",0,"1,033",243,"1,276",80.96
　　,上竹村,12,487,598,"1,085",19,"1,104",0,"1,104",377,"1,481",74.54
　　,宏竹村,13,548,439,987,14,"1,001",0,"1,001",273,"1,274",78.57
　　,宏竹村,14,511,397,908,16,924,0,924,235,"1,159",79.72
　　,大竹村,15,626,733,"1,359",23,"1,382",0,"1,382",376,"1,758",78.61
　　,大竹村,16,632,898,"1,530",28,"1,558",0,"1,558",449,"2,007",77.63
　　,富竹村,17,606,296,902,8,910,0,910,243,"1,153",78.92
　　,大華村,18,22,181,203,4,207,0,207,85,292,70.89
　　,蘆竹村,19,854,551,"1,405",14,"1,419",0,"1,419",323,"1,742",81.46
　　,蘆竹村,20,728,593,"1,321",17,"1,338",0,"1,338",405,"1,743",76.76
　　,南興村,21,598,887,"1,485",24,"1,509",0,"1,509",556,"2,065",73.08
　　,南興村,22,529,828,"1,357",18,"1,375",0,"1,375",448,"1,823",75.43
　　,南興村,23,574,825,"1,399",19,"1,418",0,"1,418",564,"1,982",71.54
　　,南興村,24,504,708,"1,212",21,"1,233",0,"1,233",571,"1,804",68.35
　　,南興村,25,582,748,"1,330",20,"1,350",0,"1,350",583,"1,933",69.84
　　,南興村,26,454,675,"1,129",21,"1,150",0,"1,150",475,"1,625",70.77
　　,南興村,27,501,757,"1,258",22,"1,280",0,"1,280",511,"1,791",71.47
　　,南興村,28,457,788,"1,245",18,"1,263",0,"1,263",562,"1,825",69.21
　　,南興村,29,561,596,"1,157",18,"1,175",0,"1,175",283,"1,458",80.59
　　,南榮村,30,529,529,"1,058",14,"1,072",0,"1,072",363,"1,435",74.70
　　,南榮村,31,374,662,"1,036",15,"1,051",0,"1,051",316,"1,367",76.88
　　,南榮村,32,382,566,948,13,961,0,961,277,"1,238",77.63
　　,南崁村,33,554,525,"1,079",17,"1,096",0,"1,096",283,"1,379",79.48
　　,南崁村,34,458,617,"1,075",25,"1,100",0,"1,100",323,"1,423",77.30
　　,錦興村,35,385,463,848,17,865,0,865,257,"1,122",77.09
　　,錦興村,36,461,611,"1,072",9,"1,081",0,"1,081",331,"1,412",76.56
　　,錦興村,37,476,616,"1,092",15,"1,107",0,"1,107",314,"1,421",77.90
　　,錦中村,38,474,660,"1,134",20,"1,154",0,"1,154",360,"1,514",76.22
　　,錦中村,39,422,405,827,14,841,0,841,275,"1,116",75.36
　　,長興村,40,410,446,856,18,874,0,874,263,"1,137",76.87
　　,長興村,41,298,377,675,4,679,0,679,360,"1,039",65.35
　　,五福村,42,476,775,"1,251",12,"1,263",0,"1,263",397,"1,660",76.08
　　,五福村,43,524,706,"1,230",19,"1,249",0,"1,249",447,"1,696",73.64
　　,五福村,44,499,772,"1,271",12,"1,283",0,"1,283",489,"1,772",72.40
　　,五福村,45,512,654,"1,166",24,"1,190",0,"1,190",421,"1,611",73.87
　　,羊稠村,46,581,755,"1,336",20,"1,356",0,"1,356",460,"1,816",74.67
　　,羊稠村,47,515,846,"1,361",26,"1,387",0,"1,387",438,"1,825",76.00
　　,羊稠村,48,490,792,"1,282",16,"1,298",0,"1,298",361,"1,659",78.24
　　,羊稠村,49,388,651,"1,039",16,"1,055",0,"1,055",340,"1,395",75.63
　　,羊稠村,50,424,650,"1,074",11,"1,085",0,"1,085",348,"1,433",75.72
　　,羊稠村,51,428,636,"1,064",20,"1,084",0,"1,084",320,"1,404",77.21
