第8屆區域立法委員選舉高雄市第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃憲南
無黨籍及未經政黨推薦","2
林岱樺
民主進步黨","3
邱于軒
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"2,090","111,188","58,261","171,539","2,665","174,204",4,"174,208","58,870","233,078",74.74
　仁武區,,,359,"29,148","13,823","43,330",568,"43,898",3,"43,901","14,004","57,905",75.81
　　,大灣里,676,11,772,294,"1,077",9,"1,086",1,"1,087",292,"1,379",78.75
　　,大灣里,677,6,737,321,"1,064",9,"1,073",0,"1,073",418,"1,491",71.97
　　,灣內里,678,7,592,265,864,9,873,0,873,256,"1,129",77.33
　　,灣內里,679,2,649,250,901,16,917,0,917,288,"1,205",76.10
　　,灣內里,680,8,560,178,746,7,753,0,753,260,"1,013",74.33
　　,灣內里,681,5,766,394,"1,165",8,"1,173",0,"1,173",431,"1,604",73.13
　　,考潭里,682,12,638,305,955,15,970,0,970,275,"1,245",77.91
　　,考潭里,683,6,520,345,871,12,883,0,883,274,"1,157",76.32
　　,烏林里,684,9,475,290,774,8,782,0,782,318,"1,100",71.09
　　,烏林里,685,6,631,157,794,5,799,0,799,328,"1,127",70.90
　　,烏林里,686,14,517,334,865,21,886,0,886,324,"1,210",73.22
　　,仁福里,687,3,378,137,518,10,528,0,528,216,744,70.97
　　,仁武里,688,10,774,370,"1,154",10,"1,164",0,"1,164",557,"1,721",67.64
　　,仁武里,689,11,771,318,"1,100",11,"1,111",0,"1,111",348,"1,459",76.15
　　,仁武里,690,8,882,391,"1,281",19,"1,300",0,"1,300",339,"1,639",79.32
　　,文武里,691,2,786,236,"1,024",18,"1,042",0,"1,042",300,"1,342",77.65
　　,文武里,692,6,650,381,"1,037",9,"1,046",0,"1,046",343,"1,389",75.31
　　,文武里,693,7,636,237,880,10,890,0,890,260,"1,150",77.39
　　,文武里,694,4,578,358,940,9,949,0,949,289,"1,238",76.66
　　,文武里,695,10,491,285,786,10,796,0,796,279,"1,075",74.05
　　,文武里,696,4,593,259,856,15,871,0,871,313,"1,184",73.56
　　,竹後里,697,13,639,153,805,9,814,0,814,185,999,81.48
　　,竹後里,698,7,658,177,842,11,853,0,853,243,"1,096",77.83
　　,八卦里,699,13,717,319,"1,049",15,"1,064",0,"1,064",389,"1,453",73.23
　　,八卦里,700,7,687,375,"1,069",13,"1,082",0,"1,082",310,"1,392",77.73
　　,八卦里,701,5,557,346,908,3,911,0,911,291,"1,202",75.79
　　,八卦里,702,11,705,497,"1,213",22,"1,235",0,"1,235",337,"1,572",78.56
　　,八卦里,703,8,724,366,"1,098",12,"1,110",0,"1,110",401,"1,511",73.46
　　,八卦里,704,9,618,490,"1,117",19,"1,136",0,"1,136",313,"1,449",78.40
　　,八卦里,705,7,789,435,"1,231",16,"1,247",0,"1,247",427,"1,674",74.49
　　,八卦里,706,4,669,397,"1,070",15,"1,085",1,"1,086",280,"1,366",79.43
　　,高楠里,707,6,489,156,651,11,662,0,662,199,861,76.89
　　,高楠里,708,9,414,165,588,13,601,0,601,157,758,79.29
　　,後安里,709,11,594,177,782,10,792,0,792,225,"1,017",77.88
　　,後安里,710,12,655,263,930,16,946,1,947,316,"1,263",74.90
　　,中華里,711,9,674,360,"1,043",20,"1,063",0,"1,063",370,"1,433",74.18
　　,五和里,712,12,797,279,"1,088",14,"1,102",0,"1,102",403,"1,505",73.22
　　,五和里,713,17,856,462,"1,335",19,"1,354",0,"1,354",451,"1,805",75.01
　　,仁和里,714,4,715,339,"1,058",13,"1,071",0,"1,071",281,"1,352",79.22
　　,仁和里,715,11,783,452,"1,246",19,"1,265",0,"1,265",414,"1,679",75.34
　　,赤山里,716,8,654,324,986,9,995,0,995,311,"1,306",76.19
　　,赤山里,717,11,703,312,"1,026",19,"1,045",0,"1,045",296,"1,341",77.93
　　,赤山里,718,5,791,399,"1,195",15,"1,210",0,"1,210",330,"1,540",78.57
　　,仁慈里,719,9,864,475,"1,348",15,"1,363",0,"1,363",367,"1,730",78.79
　鳥松區,,,243,"16,739","9,601","26,583",378,"26,961",1,"26,962","8,190","35,152",76.70
　　,鳥松里,720,10,737,447,"1,194",17,"1,211",0,"1,211",309,"1,520",79.67
　　,鳥松里,721,10,633,441,"1,084",22,"1,106",0,"1,106",408,"1,514",73.05
　　,鳥松里,722,4,531,278,813,13,826,0,826,258,"1,084",76.20
　　,鳥松里,723,9,461,332,802,14,816,0,816,368,"1,184",68.92
　　,鳥松里,724,3,395,307,705,8,713,0,713,281,994,71.73
　　,鳥松里,725,7,767,387,"1,161",14,"1,175",0,"1,175",384,"1,559",75.37
　　,鳥松里,726,13,491,341,845,13,858,0,858,294,"1,152",74.48
　　,夢裡里,727,6,594,324,924,16,940,0,940,254,"1,194",78.73
　　,夢裡里,728,9,577,175,761,10,771,0,771,202,973,79.24
