第8屆區域立法委員選舉彰化縣第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
鄭汝芬
中國國民黨","2
江昭儀
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"101,352","79,969","181,321","6,885","188,206",3,"188,209","81,568","269,777",69.76
　芳苑鄉,,,"9,040","8,874","17,914",832,"18,746",1,"18,747","9,980","28,727",65.26
　　,芳苑村,372,279,282,561,28,589,0,589,376,965,61.04
　　,芳中村,373,126,164,290,9,299,0,299,154,453,66.00
　　,仁愛村,374,253,246,499,37,536,0,536,240,776,69.07
　　,信義村,375,201,150,351,17,368,0,368,229,597,61.64
　　,後寮村,376,404,171,575,22,597,0,597,346,943,63.31
　　,三合村,377,561,360,921,39,960,1,961,499,"1,460",65.75
　　,三合村,378,226,154,380,14,394,0,394,116,510,77.25
　　,永興村,379,478,392,870,45,915,0,915,468,"1,383",66.16
　　,新街村,380,214,272,486,22,508,0,508,417,925,54.92
　　,路上村,381,283,157,440,15,455,0,455,260,715,63.64
　　,路平村,382,308,178,486,12,498,0,498,224,722,68.98
　　,三成村,383,327,321,648,35,683,0,683,312,995,68.64
　　,福榮村,384,193,205,398,15,413,0,413,203,616,67.05
　　,頂村,385,205,159,364,8,372,0,372,218,590,63.05
　　,王功村,386,231,540,771,37,808,0,808,426,"1,234",65.48
　　,王功村,387,190,322,512,37,549,0,549,301,850,64.59
　　,博愛村,388,148,281,429,36,465,0,465,242,707,65.77
　　,和平村,389,181,279,460,24,484,0,484,296,780,62.05
　　,興仁村,390,273,504,777,36,813,0,813,514,"1,327",61.27
　　,民生村,391,142,299,441,28,469,0,469,216,685,68.47
　　,新寶村,392,471,520,991,28,"1,019",0,"1,019",455,"1,474",69.13
　　,五俊村,393,162,108,270,7,277,0,277,219,496,55.85
　　,草湖村,394,556,342,898,36,934,0,934,454,"1,388",67.29
