第8屆區域立法委員選舉苗栗縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
楊長鎮
民主進步黨","2
徐耀昌
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"47,022","118,858","165,880","3,172","169,052",6,"169,058","55,865","224,923",75.16
　　,苗豐里,445,265,260,525,9,534,1,535,232,767,69.62
　　,上新里,446,258,322,580,13,593,0,593,248,841,70.51
　　,上新里,447,308,286,594,15,609,0,609,232,841,72.41
　　,上新里,448,102,206,308,3,311,0,311,116,427,72.83
　　,內灣里,449,249,246,495,4,499,0,499,187,686,72.74
　　,內灣里,450,244,282,526,12,538,0,538,226,764,70.42
　　,內灣里,451,231,312,543,10,553,0,553,174,727,76.07
　　,坪林里,452,248,424,672,11,683,0,683,344,"1,027",66.50
　　,坪林里,453,118,326,444,10,454,0,454,164,618,73.46
　　,景山里,454,182,331,513,6,519,0,519,269,788,65.86
