第8屆區域立法委員選舉臺中市第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
童瑞陽
民主進步黨","2
劉坤鱧
無黨籍及未經政黨推薦","3
楊瓊瓔
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"64,601","8,789","99,400","172,790","3,350","176,140",4,"176,144","53,859","230,003",76.58
　后里區,,,"11,131","1,482","17,971","30,584",650,"31,234",0,"31,234","9,595","40,829",76.50
　　,廣福里,379,168,22,386,576,15,591,0,591,203,794,74.43
　　,廣福里,380,132,39,556,727,24,751,0,751,252,"1,003",74.88
　　,仁里里,381,259,46,461,766,19,785,0,785,238,"1,023",76.74
　　,義里里,382,300,33,676,"1,009",27,"1,036",0,"1,036",361,"1,397",74.16
　　,義里里,383,272,67,769,"1,108",22,"1,130",0,"1,130",299,"1,429",79.08
　　,義德里,384,257,37,647,941,22,963,0,963,375,"1,338",71.97
　　,義德里,385,282,44,613,939,18,957,0,957,273,"1,230",77.80
　　,后里里,386,376,56,596,"1,028",20,"1,048",0,"1,048",235,"1,283",81.68
　　,后里里,387,331,39,492,862,20,882,0,882,239,"1,121",78.68
　　,后里里,388,254,43,401,698,15,713,0,713,242,955,74.66
　　,厚里里,389,257,24,405,686,12,698,0,698,216,914,76.37
　　,厚里里,390,273,26,491,790,22,812,0,812,284,"1,096",74.09
　　,墩東里,391,404,56,802,"1,262",30,"1,292",0,"1,292",397,"1,689",76.49
　　,墩東里,392,379,49,538,966,12,978,0,978,368,"1,346",72.66
　　,墩東里,393,388,69,537,994,18,"1,012",0,"1,012",262,"1,274",79.43
　　,墩西里,394,217,33,334,584,12,596,0,596,206,802,74.31
　　,墩西里,395,341,48,382,771,16,787,0,787,172,959,82.06
　　,墩南里,396,340,58,621,"1,019",14,"1,033",0,"1,033",334,"1,367",75.57
　　,墩南里,397,489,68,650,"1,207",24,"1,231",0,"1,231",304,"1,535",80.20
　　,墩北里,398,379,41,581,"1,001",26,"1,027",0,"1,027",290,"1,317",77.98
　　,墩北里,399,545,82,710,"1,337",31,"1,368",0,"1,368",402,"1,770",77.29
　　,中和里,400,360,30,392,782,14,796,0,796,223,"1,019",78.12
　　,中和里,401,395,47,476,918,21,939,0,939,260,"1,199",78.32
　　,舊社里,402,473,51,702,"1,226",23,"1,249",0,"1,249",424,"1,673",74.66
　　,聯合里,403,483,43,618,"1,144",20,"1,164",0,"1,164",357,"1,521",76.53
　　,太平里,404,250,26,366,642,10,652,0,652,235,887,73.51
　　,太平里,405,282,31,515,828,21,849,0,849,297,"1,146",74.08
　　,眉山里,406,414,60,623,"1,097",29,"1,126",0,"1,126",342,"1,468",76.70
　　,眉山里,407,365,43,654,"1,062",21,"1,083",0,"1,083",360,"1,443",75.05
　　,月眉里,408,518,59,668,"1,245",29,"1,274",0,"1,274",375,"1,649",77.26
　　,公館里,409,294,35,355,684,11,695,0,695,233,928,74.89
　　,公館里,410,264,27,470,761,11,772,0,772,237,"1,009",76.51
　　,泰安里,411,390,50,484,924,21,945,0,945,300,"1,245",75.90
　神岡區,,,"15,184","2,077","19,258","36,519",740,"37,259",1,"37,260","11,186","48,446",76.91
　　,神岡里,412,420,70,619,"1,109",19,"1,128",1,"1,129",340,"1,469",76.79
　　,神岡里,413,376,48,586,"1,010",24,"1,034",0,"1,034",395,"1,429",72.36
　　,庄前里,414,501,71,785,"1,357",33,"1,390",0,"1,390",357,"1,747",79.56
　　,北庄里,415,386,43,431,860,18,878,0,878,250,"1,128",77.84
　　,北庄里,416,368,48,532,948,18,966,0,966,294,"1,260",76.67
　　,庄後里,417,378,60,450,888,27,915,0,915,276,"1,191",76.83
　　,庄後里,418,276,35,315,626,12,638,0,638,154,792,80.56
　　,圳前里,419,412,47,551,"1,010",14,"1,024",0,"1,024",274,"1,298",78.89
　　,圳前里,420,166,25,458,649,16,665,0,665,195,860,77.33
　　,圳堵里,421,245,19,359,623,15,638,0,638,163,801,79.65
　　,圳堵里,422,248,55,534,837,11,848,0,848,261,"1,109",76.47
　　,新庄里,423,353,57,450,860,24,884,0,884,285,"1,169",75.62
　　,新庄里,424,423,48,468,939,20,959,0,959,306,"1,265",75.81
　　,新庄里,425,298,62,498,858,13,871,0,871,343,"1,214",71.75
　　,山皮里,426,296,53,361,710,14,724,0,724,206,930,77.85
　　,社口里,427,458,67,718,"1,243",21,"1,264",0,"1,264",431,"1,695",74.57
　　,社口里,428,530,101,751,"1,382",29,"1,411",0,"1,411",460,"1,871",75.41
　　,社口里,429,434,71,533,"1,038",21,"1,059",0,"1,059",296,"1,355",78.15
　　,社口里,430,444,72,515,"1,031",14,"1,045",0,"1,045",319,"1,364",76.61
　　,社南里,431,540,66,636,"1,242",27,"1,269",0,"1,269",460,"1,729",73.40
　　,社南里,432,505,72,487,"1,064",21,"1,085",0,"1,085",310,"1,395",77.78
　　,社南里,433,490,59,590,"1,139",21,"1,160",0,"1,160",373,"1,533",75.67
　　,三角里,434,451,58,467,976,19,995,0,995,270,"1,265",78.66
　　,三角里,435,321,48,347,716,17,733,0,733,187,920,79.67
　　,大社里,436,430,46,526,"1,002",21,"1,023",0,"1,023",308,"1,331",76.86
　　,大社里,437,348,43,505,896,18,914,0,914,327,"1,241",73.65
　　,大社里,438,230,29,382,641,9,650,0,650,282,932,69.74
　　,岸裡里,439,521,54,510,"1,085",26,"1,111",0,"1,111",257,"1,368",81.21
　　,岸裡里,440,489,56,489,"1,034",22,"1,056",0,"1,056",260,"1,316",80.24
　　,豐洲里,441,521,66,637,"1,224",17,"1,241",0,"1,241",408,"1,649",75.26
　　,豐洲里,442,535,65,591,"1,191",27,"1,218",0,"1,218",426,"1,644",74.09
　　,豐洲里,443,557,76,659,"1,292",28,"1,320",0,"1,320",387,"1,707",77.33
　　,豐洲里,444,531,48,584,"1,163",23,"1,186",0,"1,186",345,"1,531",77.47
　　,神洲里,445,501,48,386,935,16,951,0,951,205,"1,156",82.27
　　,神洲里,446,402,70,478,950,17,967,0,967,249,"1,216",79.52
　　,溪洲里,447,348,53,644,"1,045",23,"1,068",0,"1,068",293,"1,361",78.47
　　,溪洲里,448,452,68,426,946,25,971,0,971,234,"1,205",80.58
　大雅區,,,"16,045","2,710","29,962","48,717",951,"49,668",2,"49,670","15,395","65,065",76.34
　　,上雅里,449,362,61,721,"1,144",19,"1,163",0,"1,163",362,"1,525",76.26
　　,上雅里,450,385,65,650,"1,100",22,"1,122",0,"1,122",482,"1,604",69.95
　　,上雅里,451,332,58,655,"1,045",20,"1,065",0,"1,065",300,"1,365",78.02
　　,大雅里,452,262,68,676,"1,006",19,"1,025",0,"1,025",324,"1,349",75.98
　　,大雅里,453,362,58,559,979,22,"1,001",0,"1,001",273,"1,274",78.57
　　,大雅里,454,360,52,609,"1,021",26,"1,047",0,"1,047",290,"1,337",78.31
　　,文雅里,455,313,56,856,"1,225",20,"1,245",0,"1,245",438,"1,683",73.98
　　,文雅里,456,399,43,760,"1,202",24,"1,226",0,"1,226",380,"1,606",76.34
　　,文雅里,457,422,73,816,"1,311",24,"1,335",0,"1,335",446,"1,781",74.96
　　,三和里,458,391,49,617,"1,057",23,"1,080",0,"1,080",322,"1,402",77.03
　　,三和里,459,434,48,546,"1,028",23,"1,051",0,"1,051",262,"1,313",80.05
　　,三和里,460,423,51,715,"1,189",20,"1,209",0,"1,209",366,"1,575",76.76
　　,二和里,461,478,60,727,"1,265",23,"1,288",0,"1,288",408,"1,696",75.94
　　,二和里,462,377,54,733,"1,164",18,"1,182",0,"1,182",367,"1,549",76.31
　　,二和里,463,363,56,796,"1,215",27,"1,242",0,"1,242",410,"1,652",75.18
　　,四德里,464,313,68,634,"1,015",18,"1,033",0,"1,033",318,"1,351",76.46
　　,四德里,465,334,49,500,883,13,896,0,896,234,"1,130",79.29
　　,四德里,466,321,38,545,904,23,927,0,927,280,"1,207",76.80
　　,西寶里,467,401,73,529,"1,003",11,"1,014",0,"1,014",333,"1,347",75.28
　　,西寶里,468,342,53,592,987,24,"1,011",0,"1,011",325,"1,336",75.67
　　,西寶里,469,442,50,536,"1,028",9,"1,037",2,"1,039",323,"1,362",76.14
　　,上楓里,470,392,81,705,"1,178",27,"1,205",0,"1,205",374,"1,579",76.31
　　,上楓里,471,376,114,714,"1,204",32,"1,236",0,"1,236",360,"1,596",77.44
　　,上楓里,472,426,99,727,"1,252",27,"1,279",0,"1,279",400,"1,679",76.18
　　,大楓里,473,290,76,598,964,12,976,0,976,363,"1,339",72.89
　　,大楓里,474,290,66,462,818,12,830,0,830,307,"1,137",73.00
　　,大楓里,475,379,71,711,"1,161",20,"1,181",0,"1,181",304,"1,485",79.53
　　,雅楓里,476,292,57,575,924,29,953,0,953,445,"1,398",68.17
　　,雅楓里,477,385,63,864,"1,312",20,"1,332",0,"1,332",415,"1,747",76.24
　　,員林里,478,311,65,621,997,16,"1,013",0,"1,013",258,"1,271",79.70
　　,員林里,479,418,81,615,"1,114",27,"1,141",0,"1,141",313,"1,454",78.47
　　,員林里,480,352,77,635,"1,064",23,"1,087",0,"1,087",312,"1,399",77.70
　　,員林里,481,279,45,451,775,20,795,0,795,241,"1,036",76.74
　　,員林里,482,328,43,550,921,15,936,0,936,280,"1,216",76.97
　　,員林里,483,288,35,540,863,17,880,0,880,305,"1,185",74.26
　　,六寶里,484,437,40,630,"1,107",16,"1,123",0,"1,123",304,"1,427",78.70
　　,六寶里,485,148,33,758,939,31,970,0,970,359,"1,329",72.99
　　,六寶里,486,258,32,563,853,14,867,0,867,276,"1,143",75.85
　　,六寶里,487,491,79,610,"1,180",19,"1,199",0,"1,199",402,"1,601",74.89
　　,秀山里,488,477,63,788,"1,328",23,"1,351",0,"1,351",388,"1,739",77.69
　　,秀山里,489,322,60,537,919,15,934,0,934,283,"1,217",76.75
　　,橫山里,490,525,82,865,"1,472",33,"1,505",0,"1,505",394,"1,899",79.25
　　,橫山里,491,441,84,720,"1,245",22,"1,267",0,"1,267",354,"1,621",78.16
　　,忠義里,492,161,42,"1,025","1,228",24,"1,252",0,"1,252",361,"1,613",77.62
　　,忠義里,493,163,39,926,"1,128",29,"1,157",0,"1,157",354,"1,511",76.57
　潭子區,,,"22,241","2,520","32,209","56,970","1,009","57,979",1,"57,980","17,683","75,663",76.63
　　,潭秀里,494,494,61,450,"1,005",25,"1,030",0,"1,030",272,"1,302",79.11
　　,潭北里,495,248,27,498,773,17,790,0,790,238,"1,028",76.85
　　,潭北里,496,313,29,504,846,26,872,0,872,233,"1,105",78.91
　　,潭陽里,497,464,43,625,"1,132",20,"1,152",0,"1,152",378,"1,530",75.29
　　,潭陽里,498,367,46,571,984,12,996,0,996,377,"1,373",72.54
　　,潭陽里,499,520,45,562,"1,127",20,"1,147",0,"1,147",370,"1,517",75.61
　　,潭陽里,500,484,35,572,"1,091",18,"1,109",0,"1,109",315,"1,424",77.88
　　,潭陽里,501,463,32,669,"1,164",10,"1,174",0,"1,174",338,"1,512",77.65
　　,潭陽里,502,293,30,421,744,13,757,0,757,519,"1,276",59.33
　　,潭陽里,503,311,47,573,931,14,945,0,945,303,"1,248",75.72
　　,福仁里,504,490,46,682,"1,218",35,"1,253",0,"1,253",386,"1,639",76.45
　　,福仁里,505,356,41,635,"1,032",12,"1,044",0,"1,044",426,"1,470",71.02
　　,福仁里,506,542,47,795,"1,384",24,"1,408",0,"1,408",489,"1,897",74.22
　　,福仁里,507,515,56,920,"1,491",31,"1,522",0,"1,522",506,"2,028",75.05
　　,福仁里,508,434,61,674,"1,169",24,"1,193",0,"1,193",364,"1,557",76.62
　　,頭家里,509,317,38,627,982,13,995,0,995,247,"1,242",80.11
　　,頭家里,510,383,33,726,"1,142",6,"1,148",0,"1,148",387,"1,535",74.79
　　,頭家里,511,399,46,621,"1,066",16,"1,082",0,"1,082",344,"1,426",75.88
　　,頭家東里,512,455,57,973,"1,485",32,"1,517",0,"1,517",478,"1,995",76.04
　　,頭家東里,513,479,53,646,"1,178",17,"1,195",0,"1,195",349,"1,544",77.40
　　,家興里,514,326,37,714,"1,077",16,"1,093",0,"1,093",385,"1,478",73.95
　　,家興里,515,462,52,842,"1,356",27,"1,383",0,"1,383",571,"1,954",70.78
　　,家興里,516,557,61,878,"1,496",24,"1,520",0,"1,520",481,"2,001",75.96
　　,家福里,517,572,75,893,"1,540",25,"1,565",0,"1,565",453,"2,018",77.55
　　,家福里,518,434,58,712,"1,204",18,"1,222",0,"1,222",329,"1,551",78.79
　　,甘蔗里,519,415,59,769,"1,243",31,"1,274",0,"1,274",343,"1,617",78.79
　　,甘蔗里,520,640,69,"1,010","1,719",21,"1,740",0,"1,740",456,"2,196",79.23
　　,甘蔗里,521,461,67,911,"1,439",28,"1,467",0,"1,467",466,"1,933",75.89
　　,甘蔗里,522,554,60,838,"1,452",26,"1,478",0,"1,478",452,"1,930",76.58
　　,東寶里,523,499,38,518,"1,055",25,"1,080",0,"1,080",312,"1,392",77.59
　　,東寶里,524,403,47,571,"1,021",26,"1,047",0,"1,047",310,"1,357",77.16
　　,東寶里,525,331,54,675,"1,060",15,"1,075",0,"1,075",311,"1,386",77.56
　　,東寶里,526,607,86,800,"1,493",23,"1,516",0,"1,516",448,"1,964",77.19
　　,東寶里,527,438,26,514,978,15,993,0,993,243,"1,236",80.34
　　,東寶里,528,493,46,523,"1,062",19,"1,081",0,"1,081",267,"1,348",80.19
　　,東寶里,529,452,47,670,"1,169",21,"1,190",0,"1,190",343,"1,533",77.63
　　,大富里,530,772,74,827,"1,673",42,"1,715",0,"1,715",489,"2,204",77.81
　　,大豐里,531,524,83,651,"1,258",16,"1,274",0,"1,274",340,"1,614",78.93
　　,大豐里,532,586,98,607,"1,291",31,"1,322",1,"1,323",285,"1,608",82.21
　　,大豐里,533,373,83,621,"1,077",21,"1,098",0,"1,098",314,"1,412",77.76
　　,栗林里,534,554,60,771,"1,385",20,"1,405",0,"1,405",402,"1,807",77.75
　　,栗林里,535,466,54,363,883,13,896,0,896,236,"1,132",79.15
　　,栗林里,536,394,62,492,948,17,965,0,965,290,"1,255",76.89
　　,嘉仁里,537,619,42,539,"1,200",21,"1,221",0,"1,221",355,"1,576",77.47
　　,嘉仁里,538,512,54,795,"1,361",22,"1,383",0,"1,383",403,"1,786",77.44
　　,新田里,539,470,34,579,"1,083",21,"1,104",0,"1,104",325,"1,429",77.26
　　,聚興里,540,639,73,767,"1,479",29,"1,508",0,"1,508",409,"1,917",78.66
　　,聚興里,541,361,48,615,"1,024",11,"1,035",0,"1,035",346,"1,381",74.95
