第8屆區域立法委員選舉新竹縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
傅家賢
中華民國臺灣基本法連線","2
彭紹瑾
民主進步黨","3
徐欣瑩
中國國民黨","4
戴國樑
台灣主義黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"1,984","102,953","171,466","1,500","277,903","4,346","282,249",2,"282,251","86,589","368,840",76.52
　　,華龍村,278,1,125,211,1,338,3,341,0,341,98,439,77.68
　　,五龍村,279,3,131,270,0,404,6,410,0,410,91,501,81.84
　　,秀湖村,280,1,271,444,2,718,13,731,0,731,178,909,80.42
　　,永興村,281,0,98,198,0,296,6,302,0,302,102,404,74.75
　　,石潭村,282,5,245,473,4,727,15,742,0,742,205,947,78.35
　　,石潭村,283,10,507,655,2,"1,174",22,"1,196",0,"1,196",389,"1,585",75.46
　　,新鳳村,284,6,490,634,3,"1,133",21,"1,154",0,"1,154",341,"1,495",77.19
　　,中坑村,285,3,117,311,3,434,6,440,0,440,130,570,77.19
　　,水坑村,286,5,210,288,3,506,7,513,0,513,157,670,76.57
　　,文林村,287,9,316,570,0,895,16,911,0,911,250,"1,161",78.47
　　,文林村,288,7,280,566,7,860,9,869,0,869,229,"1,098",79.14
　　,芎林村,289,6,460,735,3,"1,204",14,"1,218",0,"1,218",284,"1,502",81.09
　　,上山村,290,2,489,680,6,"1,177",11,"1,188",0,"1,188",317,"1,505",78.94
　　,上山村,291,7,277,446,1,731,8,739,0,739,165,904,81.75
　　,上山村,292,9,353,546,4,912,15,927,0,927,279,"1,206",76.87
　　,下山村,293,8,312,525,1,846,15,861,0,861,243,"1,104",77.99
　橫山鄉,,,64,"3,112","5,310",38,"8,524",147,"8,671",0,"8,671","2,587","11,258",77.02
　　,橫山村,294,5,268,609,3,885,22,907,0,907,267,"1,174",77.26
　　,橫山村,295,3,250,487,3,743,7,750,0,750,256,"1,006",74.55
　　,橫山村,296,8,271,521,0,800,15,815,0,815,292,"1,107",73.62
　　,田寮村,297,5,277,413,2,697,16,713,0,713,167,880,81.02
　　,南昌村,298,2,60,84,1,147,0,147,0,147,69,216,68.06
　　,豐鄉村,299,0,84,101,1,186,4,190,0,190,78,268,70.90
　　,豐田村,300,4,110,145,0,259,9,268,0,268,64,332,80.72
　　,內灣村,301,7,230,463,2,702,14,716,0,716,258,974,73.51
　　,力行村,302,2,132,278,2,414,6,420,0,420,135,555,75.68
　　,力行村,303,1,80,162,2,245,4,249,0,249,41,290,85.86
　　,福興村,304,5,218,150,3,376,5,381,0,381,99,480,79.38
　　,沙坑村,305,6,295,235,4,540,6,546,0,546,133,679,80.41
　　,沙坑村,306,3,137,117,3,260,5,265,0,265,74,339,78.17
　　,新興村,307,3,165,367,4,539,10,549,0,549,154,703,78.09
　　,新興村,308,1,206,446,3,656,5,661,0,661,164,825,80.12
　　,大肚村,309,9,329,732,5,"1,075",19,"1,094",0,"1,094",336,"1,430",76.50
　北埔鄉,,,44,"2,449","3,432",22,"5,947",97,"6,044",0,"6,044","1,884","7,928",76.24
　　,北埔村,310,5,341,487,0,833,6,839,0,839,267,"1,106",75.86
　　,南興村,311,8,299,629,3,939,18,957,0,957,273,"1,230",77.80
　　,大湖村,312,2,185,228,2,417,10,427,0,427,113,540,79.07
　　,埔尾村,313,3,304,405,2,714,12,726,0,726,209,935,77.65
　　,埔尾村,314,6,467,648,4,"1,125",18,"1,143",0,"1,143",359,"1,502",76.10
　　,水村,315,4,323,256,5,588,6,594,0,594,227,821,72.35
　　,南埔村,316,3,110,182,1,296,5,301,0,301,100,401,75.06
　　,大林村,317,8,192,358,3,561,13,574,0,574,158,732,78.42
　　,南坑村,318,4,122,141,1,268,7,275,0,275,84,359,76.60
　　,外坪村,319,1,106,98,1,206,2,208,0,208,94,302,68.87
　寶山鄉,,,59,"2,896","5,330",24,"8,309",120,"8,429",0,"8,429","2,554","10,983",76.75
　　,雙溪村,320,2,207,459,1,669,10,679,0,679,249,928,73.17
　　,雙溪村,321,3,254,534,4,795,13,808,0,808,213,"1,021",79.14
　　,雙新村,322,5,333,606,4,948,9,957,0,957,326,"1,283",74.59
　　,雙新村,323,6,259,430,2,697,17,714,0,714,245,959,74.45
　　,大崎村,324,9,362,766,3,"1,140",17,"1,157",0,"1,157",326,"1,483",78.02
　　,三峰村,325,8,233,462,2,705,9,714,0,714,264,978,73.01
　　,新城村,326,3,326,516,1,846,13,859,0,859,273,"1,132",75.88
　　,寶斗村,327,5,205,295,4,509,5,514,0,514,143,657,78.23
　　,深井村,328,5,213,347,0,565,9,574,0,574,148,722,79.50
　　,寶山村,329,7,172,403,1,583,6,589,0,589,142,731,80.57
　　,油田村,330,4,202,266,2,474,5,479,0,479,115,594,80.64
　　,山湖村,331,2,130,246,0,378,7,385,0,385,110,495,77.78
