第8屆區域立法委員選舉臺中市第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳添旺
中國國民黨","2
王憲堂
無黨籍及未經政黨推薦","3
蔡其昌
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"65,438","2,628","81,669","149,735","3,280","153,015",1,"153,016","51,787","204,803",74.71
　　,大村里,170,344,14,436,794,17,811,0,811,309,"1,120",72.41
　　,大村里,171,383,11,470,864,18,882,0,882,364,"1,246",70.79
　　,大村里,172,388,14,480,882,13,895,0,895,276,"1,171",76.43
　　,大村里,173,422,29,448,899,31,930,0,930,328,"1,258",73.93
　　,興農里,174,339,23,381,743,24,767,0,767,270,"1,037",73.96
　　,興農里,175,291,26,459,776,11,787,0,787,261,"1,048",75.10
　　,永寧里,176,336,30,440,806,12,818,0,818,241,"1,059",77.24
　　,永寧里,177,349,20,487,856,11,867,0,867,301,"1,168",74.23
　　,永安里,178,467,14,474,955,23,978,0,978,297,"1,275",76.71
　　,永安里,179,310,21,522,853,10,863,0,863,280,"1,143",75.50
