第8屆區域立法委員選舉高雄市第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林瑩蓉
民主進步黨","2
黎建南
親民黨","3
林震洋
綠黨","4
黃昭順
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"95,617","7,296","3,448","101,055","207,416","1,961","209,377",3,"209,380","64,408","273,788",76.47
　楠梓區,,,"49,186","2,966","1,487","45,620","99,259",940,"100,199",0,"100,199","30,443","130,642",76.70
　　,清豐里,489,776,41,27,619,"1,463",14,"1,477",0,"1,477",456,"1,933",76.41
　　,清豐里,490,804,40,28,593,"1,465",11,"1,476",0,"1,476",401,"1,877",78.64
　　,清豐里,491,818,21,12,473,"1,324",8,"1,332",0,"1,332",375,"1,707",78.03
　　,清豐里,492,767,35,34,561,"1,397",10,"1,407",0,"1,407",474,"1,881",74.80
　　,清豐里,493,715,35,21,573,"1,344",23,"1,367",0,"1,367",411,"1,778",76.88
　　,清豐里,494,717,37,19,575,"1,348",9,"1,357",0,"1,357",482,"1,839",73.79
　　,清豐里,495,589,31,21,583,"1,224",9,"1,233",0,"1,233",369,"1,602",76.97
　　,清豐里,496,607,34,16,475,"1,132",11,"1,143",0,"1,143",393,"1,536",74.41
　　,清豐里,497,546,33,10,433,"1,022",11,"1,033",0,"1,033",308,"1,341",77.03
　　,東寧里,498,674,32,23,530,"1,259",9,"1,268",0,"1,268",411,"1,679",75.52
　　,東寧里,499,453,35,20,534,"1,042",11,"1,053",0,"1,053",331,"1,384",76.08
　　,五常里,500,721,34,26,454,"1,235",8,"1,243",0,"1,243",386,"1,629",76.30
　　,五常里,501,717,30,22,539,"1,308",8,"1,316",0,"1,316",422,"1,738",75.72
　　,五常里,502,641,37,17,419,"1,114",12,"1,126",0,"1,126",472,"1,598",70.46
　　,享平里,503,673,29,11,390,"1,103",14,"1,117",0,"1,117",333,"1,450",77.03
　　,享平里,504,552,29,18,440,"1,039",11,"1,050",0,"1,050",349,"1,399",75.05
　　,中陽里,505,581,27,11,351,970,12,982,0,982,264,"1,246",78.81
　　,中陽里,506,644,26,23,318,"1,011",10,"1,021",0,"1,021",294,"1,315",77.64
　　,惠楠里,507,517,18,11,269,815,12,827,0,827,675,"1,502",55.06
　　,惠楠里,508,414,44,16,488,962,11,973,0,973,273,"1,246",78.09
　　,惠民里,509,758,28,11,479,"1,276",14,"1,290",0,"1,290",412,"1,702",75.79
　　,惠民里,510,717,52,19,573,"1,361",10,"1,371",0,"1,371",413,"1,784",76.85
　　,惠豐里,511,493,29,17,514,"1,053",12,"1,065",0,"1,065",313,"1,378",77.29
　　,惠豐里,512,451,25,14,468,958,6,964,0,964,270,"1,234",78.12
　　,惠豐里,513,419,34,16,584,"1,053",7,"1,060",0,"1,060",375,"1,435",73.87
　　,錦屏里,514,894,18,14,305,"1,231",20,"1,251",0,"1,251",317,"1,568",79.78
　　,錦屏里,515,780,25,24,441,"1,270",14,"1,284",0,"1,284",371,"1,655",77.58
　　,玉屏里,516,638,5,17,173,833,7,840,0,840,193,"1,033",81.32
　　,玉屏里,517,688,20,6,251,965,20,985,0,985,255,"1,240",79.44
　　,金田里,518,845,16,25,305,"1,191",13,"1,204",0,"1,204",350,"1,554",77.48
　　,金田里,519,780,26,11,385,"1,202",15,"1,217",0,"1,217",348,"1,565",77.76
　　,稔田里,520,887,15,16,276,"1,194",10,"1,204",0,"1,204",346,"1,550",77.68
　　,瑞屏里,521,780,29,22,607,"1,438",12,"1,450",0,"1,450",396,"1,846",78.55
　　,瑞屏里,522,584,29,16,717,"1,346",15,"1,361",0,"1,361",430,"1,791",75.99
