第8屆區域立法委員選舉桃園縣第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃興國
台灣主義黨","2
陳叡德
台灣國民會議","3
黃適卓
民主進步黨","4
楊麗環
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,839,"1,255","73,909","105,827","181,830","2,204","184,034",0,"184,034","60,619","244,653",75.22
　桃園市,,,839,"1,255","73,909","105,827","181,830","2,204","184,034",0,"184,034","60,619","244,653",75.22
　　,大林里,524,8,5,430,449,892,12,904,0,904,223,"1,127",80.21
　　,大林里,525,12,4,490,668,"1,174",10,"1,184",0,"1,184",393,"1,577",75.08
　　,大林里,526,10,13,517,627,"1,167",8,"1,175",0,"1,175",419,"1,594",73.71
　　,大林里,527,6,9,452,483,950,8,958,0,958,243,"1,201",79.77
　　,大林里,528,7,8,512,635,"1,162",12,"1,174",0,"1,174",409,"1,583",74.16
　　,雲林里,529,6,7,631,689,"1,333",15,"1,348",0,"1,348",417,"1,765",76.37
　　,雲林里,530,9,17,515,825,"1,366",9,"1,375",0,"1,375",418,"1,793",76.69
　　,雲林里,531,4,7,358,892,"1,261",13,"1,274",0,"1,274",394,"1,668",76.38
　　,大豐里,532,9,5,548,569,"1,131",14,"1,145",0,"1,145",383,"1,528",74.93
　　,大豐里,533,2,9,460,578,"1,049",14,"1,063",0,"1,063",345,"1,408",75.50
　　,大豐里,534,10,10,463,632,"1,115",20,"1,135",0,"1,135",294,"1,429",79.43
　　,福林里,535,6,9,482,755,"1,252",10,"1,262",0,"1,262",360,"1,622",77.81
　　,福林里,536,2,7,598,720,"1,327",12,"1,339",0,"1,339",329,"1,668",80.28
　　,福林里,537,9,9,505,758,"1,281",11,"1,292",0,"1,292",401,"1,693",76.31
　　,福安里,538,2,7,373,572,954,14,968,0,968,311,"1,279",75.68
　　,福安里,539,4,4,353,502,863,13,876,0,876,354,"1,230",71.22
　　,福安里,540,0,11,487,528,"1,026",15,"1,041",0,"1,041",255,"1,296",80.32
　　,豐林里,541,5,10,440,661,"1,116",12,"1,128",0,"1,128",344,"1,472",76.63
　　,豐林里,542,4,2,510,651,"1,167",13,"1,180",0,"1,180",348,"1,528",77.23
　　,豐林里,543,5,8,483,613,"1,109",10,"1,119",0,"1,119",329,"1,448",77.28
　　,豐林里,544,2,8,528,556,"1,094",7,"1,101",0,"1,101",299,"1,400",78.64
　　,建國里,545,4,11,510,640,"1,165",17,"1,182",0,"1,182",373,"1,555",76.01
　　,建國里,546,8,6,535,625,"1,174",14,"1,188",0,"1,188",389,"1,577",75.33
　　,建國里,547,8,10,433,621,"1,072",14,"1,086",0,"1,086",347,"1,433",75.79
　　,武陵里,548,5,4,484,514,"1,007",5,"1,012",0,"1,012",408,"1,420",71.27
　　,民生里,549,7,4,478,573,"1,062",12,"1,074",0,"1,074",341,"1,415",75.90
