第8屆區域立法委員選舉臺中市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
盧秀燕
中國國民黨","2
紀朝川
健保免費連線","3
謝明源
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"129,822","2,726","91,793","224,341","2,854","227,195",12,"227,207","74,150","301,357",75.39
　北屯區,,,"80,161","1,687","58,403","140,251","1,757","142,008",6,"142,014","44,770","186,784",76.03
　　,北屯里,756,550,7,388,945,14,959,0,959,296,"1,255",76.41
　　,北屯里,757,752,13,543,"1,308",20,"1,328",0,"1,328",444,"1,772",74.94
　　,北京里,758,534,14,569,"1,117",10,"1,127",0,"1,127",327,"1,454",77.51
　　,北京里,759,678,18,474,"1,170",14,"1,184",0,"1,184",354,"1,538",76.98
　　,北興里,760,677,10,460,"1,147",11,"1,158",0,"1,158",414,"1,572",73.66
　　,北興里,761,693,13,498,"1,204",12,"1,216",0,"1,216",379,"1,595",76.24
　　,三光里,762,630,18,457,"1,105",15,"1,120",0,"1,120",339,"1,459",76.76
　　,三光里,763,650,7,486,"1,143",6,"1,149",0,"1,149",358,"1,507",76.24
　　,三光里,764,711,13,467,"1,191",14,"1,205",0,"1,205",437,"1,642",73.39
　　,三光里,765,687,7,415,"1,109",9,"1,118",0,"1,118",318,"1,436",77.86
　　,三和里,766,702,19,504,"1,225",11,"1,236",0,"1,236",434,"1,670",74.01
　　,三和里,767,652,16,429,"1,097",18,"1,115",0,"1,115",376,"1,491",74.78
　　,三和里,768,486,17,384,887,16,903,0,903,235,"1,138",79.35
　　,三和里,769,367,4,215,586,15,601,0,601,207,808,74.38
　　,東光里,770,520,14,568,"1,102",12,"1,114",0,"1,114",338,"1,452",76.72
　　,東光里,771,411,14,421,846,14,860,0,860,273,"1,133",75.90
　　,東光里,772,696,16,444,"1,156",17,"1,173",0,"1,173",441,"1,614",72.68
　　,水景里,773,587,11,614,"1,212",11,"1,223",0,"1,223",341,"1,564",78.20
　　,水景里,774,618,9,551,"1,178",19,"1,197",0,"1,197",349,"1,546",77.43
　　,水景里,775,570,18,510,"1,098",14,"1,112",0,"1,112",332,"1,444",77.01
　　,水景里,776,763,12,555,"1,330",16,"1,346",0,"1,346",378,"1,724",78.07
　　,水景里,777,713,18,695,"1,426",25,"1,451",0,"1,451",391,"1,842",78.77
　　,水景里,778,699,14,637,"1,350",14,"1,364",0,"1,364",391,"1,755",77.72
　　,軍功里,779,342,15,506,863,17,880,0,880,265,"1,145",76.86
　　,軍功里,780,430,11,475,916,14,930,0,930,271,"1,201",77.44
　　,軍功里,781,667,15,695,"1,377",16,"1,393",0,"1,393",303,"1,696",82.13
　　,軍功里,782,634,15,549,"1,198",23,"1,221",0,"1,221",408,"1,629",74.95
　　,軍功里,783,638,16,445,"1,099",28,"1,127",0,"1,127",343,"1,470",76.67
　　,軍功里,784,821,10,608,"1,439",9,"1,448",0,"1,448",377,"1,825",79.34
　　,和平里,785,615,31,640,"1,286",18,"1,304",0,"1,304",383,"1,687",77.30
　　,和平里,786,494,15,552,"1,061",19,"1,080",0,"1,080",354,"1,434",75.31
　　,和平里,787,445,14,377,836,14,850,0,850,236,"1,086",78.27
　　,和平里,788,794,20,738,"1,552",20,"1,572",0,"1,572",396,"1,968",79.88
　　,子里,789,302,4,279,585,11,596,0,596,166,762,78.22
　　,子里,790,490,12,472,974,14,988,0,988,258,"1,246",79.29
　　,民政里,791,370,9,315,694,6,700,0,700,243,943,74.23
　　,東山里,792,625,8,777,"1,410",22,"1,432",0,"1,432",407,"1,839",77.87
　　,大坑里,793,682,24,658,"1,364",22,"1,386",0,"1,386",455,"1,841",75.29
　　,民德里,794,315,10,331,656,10,666,0,666,231,897,74.25
　　,舊社里,795,227,5,571,803,11,814,0,814,242,"1,056",77.08
　　,舊社里,796,313,15,290,618,11,629,0,629,223,852,73.83
　　,舊社里,797,501,8,390,899,14,913,0,913,319,"1,232",74.11
　　,舊社里,798,425,7,297,729,9,738,0,738,229,967,76.32
　　,舊社里,799,414,8,288,710,4,714,0,714,240,954,74.84
　　,舊社里,800,498,14,485,997,10,"1,007",0,"1,007",222,"1,229",81.94
　　,松茂里,801,824,18,423,"1,265",18,"1,283",0,"1,283",375,"1,658",77.38
　　,松茂里,802,683,9,441,"1,133",18,"1,151",0,"1,151",373,"1,524",75.52
　　,松茂里,803,683,12,356,"1,051",16,"1,067",1,"1,068",301,"1,369",77.94
　　,松強里,804,769,21,559,"1,349",13,"1,362",0,"1,362",488,"1,850",73.62
　　,松強里,805,561,10,556,"1,127",14,"1,141",0,"1,141",357,"1,498",76.17
　　,松強里,806,654,11,354,"1,019",9,"1,028",0,"1,028",340,"1,368",75.15
　　,松勇里,807,592,11,365,968,12,980,0,980,287,"1,267",77.35
　　,松勇里,808,788,16,521,"1,325",10,"1,335",1,"1,336",355,"1,691",78.95
　　,松勇里,809,680,21,495,"1,196",17,"1,213",0,"1,213",317,"1,530",79.28
　　,松安里,810,573,13,414,"1,000",15,"1,015",0,"1,015",295,"1,310",77.48
　　,松安里,811,552,7,498,"1,057",15,"1,072",0,"1,072",288,"1,360",78.82
　　,松安里,812,685,19,438,"1,142",13,"1,155",0,"1,155",350,"1,505",76.74
　　,松和里,813,537,14,429,980,14,994,0,994,394,"1,388",71.61
　　,松和里,814,591,16,439,"1,046",8,"1,054",1,"1,055",375,"1,430",73.71
　　,松和里,815,513,9,327,849,12,861,0,861,331,"1,192",72.23
　　,松和里,816,734,14,486,"1,234",17,"1,251",0,"1,251",459,"1,710",73.16
　　,松竹里,817,756,9,436,"1,201",15,"1,216",0,"1,216",391,"1,607",75.67
　　,松竹里,818,891,14,478,"1,383",16,"1,399",0,"1,399",405,"1,804",77.55
　　,松竹里,819,764,20,558,"1,342",17,"1,359",0,"1,359",445,"1,804",75.33
　　,松竹里,820,659,10,376,"1,045",11,"1,056",0,"1,056",329,"1,385",76.25
　　,平興里,821,771,11,444,"1,226",11,"1,237",0,"1,237",394,"1,631",75.84
　　,平興里,822,748,19,413,"1,180",14,"1,194",0,"1,194",546,"1,740",68.62
　　,平興里,823,688,11,669,"1,368",9,"1,377",0,"1,377",493,"1,870",73.64
　　,平田里,824,804,13,552,"1,369",14,"1,383",0,"1,383",481,"1,864",74.20
　　,平田里,825,636,11,417,"1,064",10,"1,074",0,"1,074",374,"1,448",74.17
　　,平田里,826,690,16,445,"1,151",8,"1,159",0,"1,159",419,"1,578",73.45
　　,平昌里,827,581,16,380,977,19,996,0,996,345,"1,341",74.27
　　,平昌里,828,708,15,419,"1,142",8,"1,150",0,"1,150",358,"1,508",76.26
　　,平昌里,829,445,10,344,799,3,802,0,802,254,"1,056",75.95
　　,平安里,830,636,11,453,"1,100",15,"1,115",0,"1,115",262,"1,377",80.97
　　,平安里,831,581,15,521,"1,117",15,"1,132",0,"1,132",419,"1,551",72.99
　　,平安里,832,829,20,564,"1,413",20,"1,433",0,"1,433",448,"1,881",76.18
　　,平順里,833,620,12,502,"1,134",15,"1,149",0,"1,149",320,"1,469",78.22
　　,平順里,834,556,8,287,851,3,854,0,854,313,"1,167",73.18
　　,平心里,835,571,9,424,"1,004",14,"1,018",0,"1,018",303,"1,321",77.06
　　,平心里,836,678,13,364,"1,055",14,"1,069",0,"1,069",389,"1,458",73.32
　　,平心里,837,545,13,363,921,7,928,0,928,299,"1,227",75.63
　　,平福里,838,743,17,418,"1,178",9,"1,187",0,"1,187",393,"1,580",75.13
　　,平福里,839,819,13,486,"1,318",19,"1,337",1,"1,338",305,"1,643",81.38
　　,平德里,840,717,15,564,"1,296",19,"1,315",0,"1,315",491,"1,806",72.81
　　,平德里,841,703,14,508,"1,225",10,"1,235",0,"1,235",395,"1,630",75.77
　　,平德里,842,745,15,548,"1,308",23,"1,331",0,"1,331",343,"1,674",79.51
　　,平和里,843,658,5,434,"1,097",18,"1,115",0,"1,115",331,"1,446",77.11
　　,平和里,844,650,14,417,"1,081",12,"1,093",0,"1,093",405,"1,498",72.96
　　,平和里,845,716,9,324,"1,049",15,"1,064",0,"1,064",404,"1,468",72.48
　　,平陽里,846,623,12,425,"1,060",13,"1,073",0,"1,073",379,"1,452",73.90
　　,平陽里,847,578,4,359,941,10,951,0,951,301,"1,252",75.96
　　,平陽里,848,657,7,463,"1,127",8,"1,135",0,"1,135",308,"1,443",78.66
　　,仁和里,849,583,17,569,"1,169",11,"1,180",0,"1,180",347,"1,527",77.28
　　,仁和里,850,753,8,497,"1,258",14,"1,272",0,"1,272",332,"1,604",79.30
　　,仁和里,851,666,10,547,"1,223",17,"1,240",0,"1,240",345,"1,585",78.23
