第8屆區域立法委員選舉桃園縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
廖正井
中國國民黨","2
郭榮宗
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
　　,富豐里,331,563,449,"1,012",20,"1,032",0,"1,032",387,"1,419",72.73
　　,員本里,332,346,479,825,19,844,0,844,268,"1,112",75.90
　　,員本里,333,307,413,720,23,743,0,743,264,"1,007",73.78
　　,三湖里,334,436,350,786,14,800,0,800,254,"1,054",75.90
　　,三湖里,335,460,430,890,12,902,0,902,299,"1,201",75.10
　　,頭湖里,336,758,530,"1,288",28,"1,316",0,"1,316",660,"1,976",66.60
　　,上湖里,337,650,659,"1,309",28,"1,337",0,"1,337",565,"1,902",70.29
　　,上湖里,338,883,612,"1,495",26,"1,521",0,"1,521",628,"2,149",70.78
　　,上田里,339,369,461,830,21,851,0,851,271,"1,122",75.85
　　,上田里,340,449,398,847,14,861,0,861,351,"1,212",71.04
　　,高山里,341,568,410,978,18,996,0,996,406,"1,402",71.04
　　,高山里,342,621,372,993,25,"1,018",0,"1,018",429,"1,447",70.35
　　,高上里,343,338,433,771,22,793,0,793,261,"1,054",75.24
　　,高上里,344,530,431,961,12,973,0,973,304,"1,277",76.19
　　,青山里,345,583,323,906,23,929,0,929,475,"1,404",66.17
　　,青山里,346,503,266,769,21,790,0,790,403,"1,193",66.22
　　,高榮里,347,402,609,"1,011",30,"1,041",0,"1,041",299,"1,340",77.69
　　,高榮里,348,518,372,890,28,918,0,918,330,"1,248",73.56
　　,雙榮里,349,464,414,878,13,891,0,891,239,"1,130",78.85
　　,雙榮里,350,659,448,"1,107",17,"1,124",0,"1,124",378,"1,502",74.83
　　,新榮里,351,547,550,"1,097",18,"1,115",0,"1,115",260,"1,375",81.09
　　,新榮里,352,618,481,"1,099",27,"1,126",0,"1,126",393,"1,519",74.13
　　,水美里,353,523,426,949,19,968,0,968,295,"1,263",76.64
　　,水美里,354,473,395,868,19,887,0,887,305,"1,192",74.41
　　,水美里,355,486,409,895,15,910,0,910,290,"1,200",75.83
　　,瑞原里,356,684,532,"1,216",21,"1,237",0,"1,237",384,"1,621",76.31
　　,瑞原里,357,706,551,"1,257",21,"1,278",0,"1,278",527,"1,805",70.80
