第8屆區域立法委員選舉新北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林鴻池
中國國民黨","2
周雅淑
民主進步黨","3
楊程欽
台灣國民會議",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"86,119","73,950","1,229","161,298","2,244","163,542",15,"163,557","49,337","212,894",76.82
　板橋區,,,"86,119","73,950","1,229","161,298","2,244","163,542",15,"163,557","49,337","212,894",76.82
　　,留侯里,973,573,422,8,"1,003",18,"1,021",0,"1,021",304,"1,325",77.06
　　,流芳里,974,520,391,8,919,13,932,0,932,285,"1,217",76.58
　　,赤松里,975,287,198,4,489,4,493,0,493,127,620,79.52
　　,黃石里,976,397,346,8,751,14,765,0,765,216,981,77.98
　　,挹秀里,977,415,188,7,610,3,613,0,613,153,766,80.03
　　,挹秀里,978,318,193,3,514,9,523,0,523,179,702,74.50
　　,湳興里,979,372,308,5,685,11,696,0,696,237,933,74.60
　　,湳興里,980,639,494,12,"1,145",19,"1,164",0,"1,164",388,"1,552",75.00
　　,湳興里,981,328,230,7,565,6,571,0,571,184,755,75.63
　　,湳興里,982,555,440,2,997,16,"1,013",0,"1,013",283,"1,296",78.16
　　,新興里,983,565,461,9,"1,035",13,"1,048",0,"1,048",329,"1,377",76.11
　　,新興里,984,574,408,13,995,14,"1,009",0,"1,009",331,"1,340",75.30
　　,社後里,985,585,503,4,"1,092",22,"1,114",0,"1,114","2,566","3,680",30.27
　　,社後里,986,562,441,6,"1,009",17,"1,026",0,"1,026",291,"1,317",77.90
　　,社後里,987,434,429,3,866,13,879,0,879,259,"1,138",77.24
　　,社後里,988,460,404,6,870,12,882,0,882,273,"1,155",76.36
　　,香社里,989,472,534,10,"1,016",14,"1,030",0,"1,030",298,"1,328",77.56
　　,香社里,990,420,355,7,782,16,798,0,798,271,"1,069",74.65
　　,香社里,991,471,487,9,967,13,980,0,980,272,"1,252",78.27
　　,香雅里,992,408,396,6,810,9,819,0,819,229,"1,048",78.15
　　,香雅里,993,492,439,8,939,9,948,0,948,288,"1,236",76.70
　　,中正里,994,440,415,6,861,13,874,0,874,291,"1,165",75.02
　　,中正里,995,472,429,9,910,14,924,0,924,293,"1,217",75.92
　　,中正里,996,590,512,5,"1,107",16,"1,123",0,"1,123",355,"1,478",75.98
　　,自強里,997,590,281,9,880,10,890,0,890,255,"1,145",77.73
　　,自強里,998,655,360,6,"1,021",8,"1,029",0,"1,029",251,"1,280",80.39
　　,自強里,999,577,301,5,883,11,894,0,894,238,"1,132",78.98
　　,自強里,"1,000",461,315,7,783,18,801,0,801,208,"1,009",79.39
　　,自立里,"1,001",543,499,2,"1,044",17,"1,061",0,"1,061",270,"1,331",79.71
　　,自立里,"1,002",440,418,8,866,8,874,0,874,223,"1,097",79.67
　　,光華里,"1,003",483,431,3,917,14,931,0,931,310,"1,241",75.02
　　,光華里,"1,004",558,313,8,879,14,893,0,893,218,"1,111",80.38
　　,光榮里,"1,005",481,352,6,839,11,850,0,850,244,"1,094",77.70
　　,光榮里,"1,006",524,334,6,864,12,876,0,876,237,"1,113",78.71
　　,國光里,"1,007",816,175,5,996,12,"1,008",0,"1,008",221,"1,229",82.02
　　,國光里,"1,008",692,111,4,807,7,814,0,814,191,"1,005",81.00
　　,國光里,"1,009",512,291,6,809,9,818,0,818,204,"1,022",80.04
　　,港尾里,"1,010",500,491,9,"1,000",16,"1,016",0,"1,016",270,"1,286",79.00
　　,港尾里,"1,011",504,296,3,803,11,814,0,814,170,984,82.72
　　,新生里,"1,012",443,439,2,884,17,901,0,901,286,"1,187",75.91
　　,新生里,"1,013",572,524,14,"1,110",10,"1,120",0,"1,120",260,"1,380",81.16
　　,新生里,"1,014",487,457,9,953,14,967,0,967,235,"1,202",80.45
　　,金華里,"1,015",397,379,2,778,14,792,0,792,291,"1,083",73.13
　　,金華里,"1,016",431,417,7,855,20,875,0,875,268,"1,143",76.55
　　,金華里,"1,017",455,423,4,882,14,896,0,896,302,"1,198",74.79
　　,港德里,"1,018",362,400,5,767,14,781,0,781,276,"1,057",73.89
　　,港德里,"1,019",424,359,8,791,8,799,0,799,222,"1,021",78.26
　　,港德里,"1,020",302,291,6,599,9,608,0,608,249,857,70.95
　　,港德里,"1,021",468,436,6,910,10,920,0,920,275,"1,195",76.99
　　,民權里,"1,022",531,350,7,888,13,901,0,901,215,"1,116",80.73
　　,民權里,"1,023",557,416,7,980,14,994,0,994,253,"1,247",79.71
　　,民安里,"1,024",384,233,6,623,5,628,0,628,154,782,80.31
　　,民安里,"1,025",446,303,6,755,6,761,0,761,196,957,79.52
