第8屆區域立法委員選舉臺中市第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
張廖萬堅
民主進步黨","2
蔡錦隆
中國國民黨","3
楊書銘
人民最大黨","4
蔡智豪
綠黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"92,213","101,702","1,104","3,986","199,005","2,824","201,829",7,"201,836","61,237","263,073",76.72
　西屯區,,,"53,453","58,820",605,"2,221","115,099","1,555","116,654",1,"116,655","36,114","152,769",76.36
　　,西安里,542,594,451,6,9,"1,060",10,"1,070",0,"1,070",319,"1,389",77.03
　　,西安里,543,547,422,3,16,988,13,"1,001",0,"1,001",305,"1,306",76.65
　　,西安里,544,557,598,3,32,"1,190",16,"1,206",0,"1,206",321,"1,527",78.98
　　,至善里,545,422,439,2,14,877,17,894,0,894,274,"1,168",76.54
　　,至善里,546,412,421,3,20,856,16,872,0,872,273,"1,145",76.16
　　,至善里,547,429,471,4,20,924,15,939,0,939,263,"1,202",78.12
　　,西平里,548,478,751,3,22,"1,254",11,"1,265",0,"1,265",367,"1,632",77.51
　　,西平里,549,548,468,6,23,"1,045",13,"1,058",0,"1,058",412,"1,470",71.97
　　,西平里,550,306,839,2,15,"1,162",18,"1,180",0,"1,180",324,"1,504",78.46
　　,西墩里,551,542,384,2,11,939,9,948,0,948,252,"1,200",79.00
　　,西墩里,552,522,264,5,8,799,10,809,0,809,215,"1,024",79.00
　　,西墩里,553,434,427,3,16,880,18,898,0,898,277,"1,175",76.43
　　,潮洋里,554,567,382,1,25,975,11,986,0,986,264,"1,250",78.88
　　,潮洋里,555,502,496,3,25,"1,026",12,"1,038",0,"1,038",269,"1,307",79.42
　　,潮洋里,556,287,280,3,13,583,8,591,0,591,875,"1,466",40.31
　　,龍潭里,557,524,165,1,7,697,7,704,0,704,146,850,82.82
　　,惠來里,558,588,716,11,26,"1,341",24,"1,365",0,"1,365",409,"1,774",76.94
　　,惠來里,559,349,373,3,14,739,20,759,0,759,224,983,77.21
　　,惠來里,560,406,474,5,19,904,12,916,0,916,223,"1,139",80.42
　　,惠來里,561,401,685,6,17,"1,109",18,"1,127",0,"1,127",345,"1,472",76.56
　　,惠來里,562,386,573,4,19,982,13,995,0,995,305,"1,300",76.54
　　,惠來里,563,551,634,2,20,"1,207",14,"1,221",0,"1,221",323,"1,544",79.08
　　,上石里,564,457,431,3,16,907,14,921,0,921,314,"1,235",74.57
　　,上石里,565,469,524,4,15,"1,012",15,"1,027",0,"1,027",365,"1,392",73.78
　　,上石里,566,429,449,6,15,899,18,917,0,917,307,"1,224",74.92
　　,上安里,567,471,460,5,17,953,6,959,0,959,272,"1,231",77.90
　　,上安里,568,467,521,1,22,"1,011",3,"1,014",0,"1,014",331,"1,345",75.39
　　,上安里,569,483,499,2,24,"1,008",10,"1,018",0,"1,018",299,"1,317",77.30
