第8屆區域立法委員選舉新北市第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
何博文
民主進步黨","2
余宗珮
親民黨","3
王鐘銘
綠黨","4
吳育昇
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"90,125","9,359","5,038","107,821","212,343","2,966","215,309",16,"215,325","72,896","288,221",74.70
　石門區,,,"2,829",229,122,"3,714","6,894",138,"7,032",0,"7,032","2,908","9,940",70.74
　　,德茂里,1,329,23,9,385,746,10,756,0,756,305,"1,061",71.25
　　,富基里,2,367,29,20,509,925,14,939,0,939,327,"1,266",74.17
　　,老梅里,3,258,19,8,355,640,11,651,0,651,257,908,71.70
　　,老梅里,4,379,22,17,352,770,20,790,0,790,337,"1,127",70.10
　　,山溪里,5,232,14,9,315,570,8,578,0,578,258,836,69.14
　　,石門里,6,390,41,17,570,"1,018",28,"1,046",0,"1,046",381,"1,427",73.30
　　,尖鹿里,7,383,36,22,515,956,31,987,0,987,460,"1,447",68.21
　　,乾華里,8,76,11,5,131,223,4,227,0,227,132,359,63.23
　　,茂林里,9,181,11,6,226,424,2,426,0,426,196,622,68.49
　　,草里里,10,234,23,9,356,622,10,632,0,632,255,887,71.25
　三芝區,,,"5,043",410,235,"7,131","12,819",195,"13,014",0,"13,014","5,122","18,136",71.76
　　,八賢里,11,121,10,5,117,253,3,256,0,256,80,336,76.19
　　,埔頭里,12,335,32,12,528,907,15,922,0,922,393,"1,315",70.11
　　,埔頭里,13,347,22,25,545,939,16,955,0,955,337,"1,292",73.92
　　,埔頭里,14,363,32,23,530,948,9,957,0,957,463,"1,420",67.39
　　,古庄里,15,259,14,6,380,659,6,665,0,665,241,906,73.40
　　,新庄里,16,258,19,4,309,590,11,601,0,601,217,818,73.47
　　,埔坪里,17,373,28,19,615,"1,035",16,"1,051",0,"1,051",518,"1,569",66.99
　　,埔坪里,18,421,43,15,567,"1,046",15,"1,061",0,"1,061",400,"1,461",72.62
　　,埔坪里,19,341,25,9,548,923,11,934,0,934,374,"1,308",71.41
　　,埔坪里,20,254,24,6,553,837,6,843,0,843,333,"1,176",71.68
　　,茂長里,21,158,11,16,202,387,10,397,0,397,131,528,75.19
　　,橫山里,22,142,17,12,232,403,9,412,0,412,123,535,77.01
　　,錫板里,23,223,31,7,267,528,5,533,0,533,189,722,73.82
　　,後厝里,24,449,38,25,739,"1,251",21,"1,272",0,"1,272",530,"1,802",70.59
　　,福德里,25,193,24,14,270,501,7,508,0,508,184,692,73.41
　　,圓山里,26,159,8,11,177,355,14,369,0,369,166,535,68.97
　　,店子里,27,264,7,10,171,452,9,461,0,461,142,603,76.45
　　,興華里,28,383,25,16,381,805,12,817,0,817,301,"1,118",73.08
　淡水區,,,"34,252","3,293","2,942","43,579","84,066","1,154","85,220",13,"85,233","29,340","114,573",74.38
　　,中和里,29,233,17,10,162,422,5,427,0,427,128,555,76.94
　　,屯山里,30,359,23,19,323,724,16,740,0,740,219,959,77.16
　　,賢孝里,31,440,27,25,536,"1,028",10,"1,038",0,"1,038",330,"1,368",75.88
　　,興仁里,32,488,32,37,477,"1,034",15,"1,049",0,"1,049",358,"1,407",74.56
　　,蕃薯里,33,217,23,12,315,567,7,574,0,574,288,862,66.59
　　,忠山里,34,258,15,13,314,600,13,613,0,613,193,806,76.05
　　,義山里,35,334,28,11,391,764,13,777,0,777,293,"1,070",72.62
　　,義山里,36,320,38,15,443,816,9,825,0,825,338,"1,163",70.94
　　,水源里,37,401,16,19,334,770,7,777,0,777,322,"1,099",70.70
　　,水源里,38,384,20,19,223,646,20,666,0,666,223,889,74.92
　　,忠寮里,39,437,16,18,308,779,13,792,0,792,259,"1,051",75.36
　　,樹興里,40,348,26,26,317,717,9,726,0,726,279,"1,005",72.24
　　,坪頂里,41,389,60,28,376,853,12,865,0,865,337,"1,202",71.96
　　,福德里,42,389,70,45,621,"1,125",13,"1,138",0,"1,138",319,"1,457",78.11
　　,福德里,43,382,53,36,619,"1,090",17,"1,107",0,"1,107",334,"1,441",76.82
　　,福德里,44,344,71,35,617,"1,067",12,"1,079",0,"1,079",319,"1,398",77.18
　　,福德里,45,311,36,23,492,862,18,880,0,880,247,"1,127",78.08
　　,竹圍里,46,393,28,33,480,934,12,946,0,946,312,"1,258",75.20
　　,竹圍里,47,348,52,38,472,910,15,925,0,925,253,"1,178",78.52
　　,竹圍里,48,395,35,37,526,993,14,"1,007",0,"1,007",315,"1,322",76.17
　　,竹圍里,49,423,39,38,596,"1,096",16,"1,112",0,"1,112",308,"1,420",78.31
　　,民權里,50,497,42,47,574,"1,160",10,"1,170",0,"1,170",325,"1,495",78.26
　　,民權里,51,554,68,61,668,"1,351",34,"1,385",0,"1,385",402,"1,787",77.50
　　,民生里,52,435,38,40,465,978,14,992,0,992,299,"1,291",76.84
