第8屆區域立法委員選舉新北市第8選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳冠騰
無黨籍及未經政黨推薦","2
張慶忠
中國國民黨","3
邱珮琳
無黨籍及未經政黨推薦","4
江永昌
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"2,147","101,161","23,023","83,468","209,799","4,201","214,000",52,"214,052","62,632","276,684",77.34
　中和區,,,"2,147","101,161","23,023","83,468","209,799","4,201","214,000",52,"214,052","62,632","276,684",77.34
　　,中原里,"1,306",16,404,105,588,"1,113",23,"1,136",0,"1,136",322,"1,458",77.91
　　,中原里,"1,307",9,236,55,324,624,12,636,0,636,180,816,77.94
　　,中原里,"1,308",14,597,120,492,"1,223",30,"1,253",0,"1,253",429,"1,682",74.49
　　,連和里,"1,309",8,404,136,343,891,21,912,0,912,342,"1,254",72.73
　　,連和里,"1,310",1,422,54,104,581,12,593,0,593,148,741,80.03
　　,連城里,"1,311",15,734,194,546,"1,489",25,"1,514",0,"1,514",392,"1,906",79.43
　　,連城里,"1,312",9,810,140,406,"1,365",27,"1,392",0,"1,392",314,"1,706",81.59
　　,連城里,"1,313",10,537,144,665,"1,356",24,"1,380",0,"1,380",392,"1,772",77.88
　　,力行里,"1,314",18,761,159,573,"1,511",30,"1,541",0,"1,541",372,"1,913",80.55
　　,力行里,"1,315",13,491,147,489,"1,140",20,"1,160",0,"1,160",269,"1,429",81.18
　　,力行里,"1,316",16,550,151,439,"1,156",24,"1,180",0,"1,180",301,"1,481",79.68
　　,正行里,"1,317",11,318,72,330,731,11,742,0,742,217,959,77.37
　　,正行里,"1,318",23,661,167,402,"1,253",26,"1,279",0,"1,279",344,"1,623",78.80
　　,德行里,"1,319",24,785,241,503,"1,553",33,"1,586",0,"1,586",408,"1,994",79.54
　　,德行里,"1,320",23,591,132,442,"1,188",16,"1,204",0,"1,204",341,"1,545",77.93
　　,德行里,"1,321",17,588,185,541,"1,331",31,"1,362",0,"1,362",350,"1,712",79.56
　　,枋寮里,"1,322",15,552,132,498,"1,197",24,"1,221",0,"1,221",329,"1,550",78.77
　　,枋寮里,"1,323",11,568,111,515,"1,205",22,"1,227",0,"1,227",326,"1,553",79.01
　　,漳和里,"1,324",8,491,114,552,"1,165",26,"1,191",0,"1,191",335,"1,526",78.05
　　,漳和里,"1,325",10,512,115,467,"1,104",33,"1,137",0,"1,137",283,"1,420",80.07
　　,廟美里,"1,326",11,410,93,491,"1,005",19,"1,024",0,"1,024",287,"1,311",78.11
　　,廟美里,"1,327",10,431,100,382,923,17,940,0,940,265,"1,205",78.01
　　,廟美里,"1,328",11,408,117,449,985,29,"1,014",0,"1,014",285,"1,299",78.06
　　,福真里,"1,329",20,606,145,559,"1,330",26,"1,356",0,"1,356",411,"1,767",76.74
　　,福真里,"1,330",12,517,132,734,"1,395",29,"1,424",0,"1,424",362,"1,786",79.73
　　,福善里,"1,331",7,420,78,253,758,21,779,0,779,232,"1,011",77.05
　　,福善里,"1,332",10,400,104,477,991,24,"1,015",0,"1,015",325,"1,340",75.75
　　,福善里,"1,333",13,467,108,435,"1,023",11,"1,034",0,"1,034",295,"1,329",77.80
　　,福美里,"1,334",5,656,112,418,"1,191",26,"1,217",0,"1,217",304,"1,521",80.01
　　,福美里,"1,335",10,473,104,534,"1,121",21,"1,142",0,"1,142",284,"1,426",80.08
　　,福美里,"1,336",4,351,76,354,785,16,801,0,801,240,"1,041",76.95
　　,福祥里,"1,337",11,412,102,529,"1,054",23,"1,077",0,"1,077",264,"1,341",80.31
　　,福祥里,"1,338",7,378,66,417,868,19,887,0,887,214,"1,101",80.56
　　,福祥里,"1,339",9,532,136,696,"1,373",33,"1,406",0,"1,406",415,"1,821",77.21
　　,瓦里,"1,340",13,433,127,500,"1,073",24,"1,097",0,"1,097",355,"1,452",75.55
　　,瓦里,"1,341",19,568,196,477,"1,260",10,"1,270",22,"1,292",328,"1,620",78.40
　　,瓦里,"1,342",13,511,115,469,"1,108",26,"1,134",0,"1,134",345,"1,479",76.67
　　,福和里,"1,343",12,349,80,337,778,19,797,0,797,220,"1,017",78.37
　　,福和里,"1,344",9,371,84,411,875,12,887,0,887,226,"1,113",79.69
　　,福和里,"1,345",14,432,84,345,875,9,884,0,884,247,"1,131",78.16
　　,佳和里,"1,346",11,597,98,493,"1,199",21,"1,220",0,"1,220",364,"1,584",77.02
　　,佳和里,"1,347",11,449,105,523,"1,088",18,"1,106",0,"1,106",281,"1,387",79.74
　　,佳和里,"1,348",10,350,126,331,817,21,838,0,838,231,"1,069",78.39
　　,新南里,"1,349",12,641,174,432,"1,259",27,"1,286",0,"1,286",359,"1,645",78.18
　　,新南里,"1,350",8,706,148,523,"1,385",31,"1,416",0,"1,416",360,"1,776",79.73
　　,新南里,"1,351",15,716,185,433,"1,349",25,"1,374",0,"1,374",379,"1,753",78.38
　　,新南里,"1,352",16,540,116,428,"1,100",19,"1,119",0,"1,119",324,"1,443",77.55
　　,南山里,"1,353",12,561,107,437,"1,117",26,"1,143",0,"1,143",298,"1,441",79.32
　　,南山里,"1,354",6,470,86,405,967,21,988,0,988,316,"1,304",75.77
　　,南山里,"1,355",13,660,172,506,"1,351",30,"1,381",0,"1,381",286,"1,667",82.84
　　,平河里,"1,356",11,541,121,611,"1,284",19,"1,303",0,"1,303",413,"1,716",75.93
　　,平河里,"1,357",6,571,92,564,"1,233",25,"1,258",0,"1,258",397,"1,655",76.01
　　,平河里,"1,358",9,451,102,400,962,16,978,0,978,289,"1,267",77.19
　　,平河里,"1,359",11,712,154,436,"1,313",17,"1,330",0,"1,330",313,"1,643",80.95
　　,平河里,"1,360",12,441,73,351,877,7,884,0,884,212,"1,096",80.66
　　,信和里,"1,361",12,352,106,397,867,17,884,0,884,248,"1,132",78.09
　　,信和里,"1,362",11,384,103,398,896,27,923,0,923,299,"1,222",75.53
　　,信和里,"1,363",20,412,117,470,"1,019",24,"1,043",0,"1,043",288,"1,331",78.36
　　,仁和里,"1,364",7,531,103,381,"1,022",18,"1,040",0,"1,040",367,"1,407",73.92
　　,仁和里,"1,365",8,305,78,372,763,13,776,0,776,249,"1,025",75.71
　　,仁和里,"1,366",17,424,96,467,"1,004",19,"1,023",0,"1,023",262,"1,285",79.61
　　,中正里,"1,367",7,381,91,329,808,8,816,0,816,253,"1,069",76.33
　　,中正里,"1,368",5,440,97,467,"1,009",15,"1,024",0,"1,024",340,"1,364",75.07
　　,中正里,"1,369",11,361,79,369,820,14,834,0,834,220,"1,054",79.13
　　,建和里,"1,370",6,499,104,123,732,12,744,0,744,144,888,83.78
　　,建和里,"1,371",9,390,94,244,737,17,754,0,754,179,933,80.81
　　,建和里,"1,372",10,410,100,511,"1,031",25,"1,056",0,"1,056",298,"1,354",77.99
　　,中山里,"1,373",7,377,58,395,837,15,852,0,852,193,"1,045",81.53
　　,中山里,"1,374",13,461,123,455,"1,052",29,"1,081",0,"1,081",307,"1,388",77.88
　　,碧河里,"1,375",7,589,158,574,"1,328",10,"1,338",16,"1,354",352,"1,706",78.43
　　,碧河里,"1,376",14,484,100,632,"1,230",19,"1,249",0,"1,249",328,"1,577",79.20
　　,正南里,"1,377",2,497,92,233,824,22,846,0,846,262,"1,108",76.35
　　,正南里,"1,378",4,397,65,251,717,10,727,0,727,196,923,78.76
　　,正南里,"1,379",6,478,78,230,792,22,814,0,814,259,"1,073",75.86
　　,頂南里,"1,380",6,553,96,276,931,12,943,0,943,241,"1,184",79.65
　　,頂南里,"1,381",12,711,129,373,"1,225",18,"1,243",0,"1,243",288,"1,531",81.19
　　,華新里,"1,382",14,688,122,315,"1,139",21,"1,160",0,"1,160",371,"1,531",75.77
　　,華新里,"1,383",5,693,119,300,"1,117",10,"1,127",13,"1,140",369,"1,509",74.69
　　,華新里,"1,384",9,582,123,290,"1,004",27,"1,031",0,"1,031",339,"1,370",75.26
　　,華新里,"1,385",13,704,128,348,"1,193",22,"1,215",0,"1,215",389,"1,604",75.75
　　,東南里,"1,386",5,684,121,102,912,15,927,0,927,230,"1,157",80.12
　　,東南里,"1,387",8,596,90,240,934,22,956,0,956,285,"1,241",77.03
　　,東南里,"1,388",3,625,87,143,858,13,871,0,871,180,"1,051",82.87
　　,華南里,"1,389",13,622,122,326,"1,083",22,"1,105",0,"1,105",377,"1,482",74.56
　　,華南里,"1,390",7,619,136,274,"1,036",27,"1,063",0,"1,063",256,"1,319",80.59
　　,華南里,"1,391",10,395,77,217,699,11,710,0,710,210,920,77.17
　　,忠孝里,"1,392",6,363,80,186,635,10,645,0,645,200,845,76.33
　　,忠孝里,"1,393",5,368,64,195,632,10,642,0,642,174,816,78.68
　　,忠孝里,"1,394",8,683,119,265,"1,075",31,"1,106",0,"1,106",288,"1,394",79.34
　　,忠孝里,"1,395",7,587,107,258,959,16,975,0,975,328,"1,303",74.83
　　,崇南里,"1,396",6,674,172,334,"1,186",23,"1,209",0,"1,209",310,"1,519",79.59
　　,崇南里,"1,397",12,781,164,337,"1,294",28,"1,322",0,"1,322",368,"1,690",78.22
　　,興南里,"1,398",12,501,146,422,"1,081",35,"1,116",0,"1,116",357,"1,473",75.76
　　,興南里,"1,399",13,577,128,296,"1,014",29,"1,043",0,"1,043",391,"1,434",72.73
　　,景南里,"1,400",5,535,120,319,979,20,999,0,999,304,"1,303",76.67
　　,景南里,"1,401",12,519,127,326,984,33,"1,017",0,"1,017",305,"1,322",76.93
　　,景本里,"1,402",5,324,78,267,674,9,683,0,683,197,880,77.61
　　,景本里,"1,403",13,419,104,299,835,23,858,0,858,231,"1,089",78.79
　　,橫路里,"1,404",3,105,20,127,255,3,258,0,258,91,349,73.93
　　,內南里,"1,405",13,560,109,395,"1,077",15,"1,092",0,"1,092",314,"1,406",77.67
　　,內南里,"1,406",8,598,117,352,"1,075",39,"1,114",0,"1,114",293,"1,407",79.18
　　,內南里,"1,407",17,638,102,438,"1,195",22,"1,217",0,"1,217",333,"1,550",78.52
　　,壽南里,"1,408",5,577,98,381,"1,061",12,"1,073",0,"1,073",282,"1,355",79.19
　　,壽南里,"1,409",1,300,66,232,599,15,614,0,614,187,801,76.65
　　,福南里,"1,410",10,878,171,391,"1,450",28,"1,478",0,"1,478",428,"1,906",77.54
　　,福南里,"1,411",7,807,143,385,"1,342",36,"1,378",0,"1,378",396,"1,774",77.68
　　,外南里,"1,412",9,542,106,398,"1,055",22,"1,077",0,"1,077","2,604","3,681",29.26
　　,外南里,"1,413",11,432,124,326,893,15,908,0,908,268,"1,176",77.21
　　,外南里,"1,414",10,456,101,314,881,11,892,0,892,237,"1,129",79.01
　　,中興里,"1,415",7,484,117,345,953,22,975,0,975,330,"1,305",74.71
　　,中興里,"1,416",12,672,145,397,"1,226",28,"1,254",0,"1,254",295,"1,549",80.96
　　,中興里,"1,417",11,435,14,383,843,24,867,0,867,406,"1,273",68.11
　　,中興里,"1,418",10,443,139,358,950,18,968,0,968,238,"1,206",80.27
　　,吉興里,"1,419",9,569,126,364,"1,068",24,"1,092",0,"1,092",281,"1,373",79.53
　　,吉興里,"1,420",10,483,107,374,974,20,994,0,994,285,"1,279",77.72
　　,復興里,"1,421",10,695,162,323,"1,190",25,"1,215",0,"1,215",368,"1,583",76.75
　　,復興里,"1,422",15,561,138,464,"1,178",17,"1,195",0,"1,195",338,"1,533",77.95
　　,復興里,"1,423",14,526,110,413,"1,063",23,"1,086",0,"1,086",288,"1,374",79.04
　　,和興里,"1,424",7,386,102,274,769,18,787,0,787,210,997,78.94
　　,和興里,"1,425",12,524,147,531,"1,214",19,"1,233",0,"1,233",370,"1,603",76.92
　　,和興里,"1,426",11,439,101,249,800,14,814,0,814,259,"1,073",75.86
　　,景平里,"1,427",21,733,221,442,"1,417",38,"1,455",0,"1,455",469,"1,924",75.62
　　,景平里,"1,428",11,586,153,396,"1,146",26,"1,172",0,"1,172",359,"1,531",76.55
　　,景平里,"1,429",9,423,124,214,770,23,793,0,793,186,979,81.00
　　,景新里,"1,430",12,632,125,461,"1,230",16,"1,246",0,"1,246",366,"1,612",77.30
　　,景新里,"1,431",10,622,136,397,"1,165",27,"1,192",0,"1,192",370,"1,562",76.31
　　,景福里,"1,432",12,694,143,421,"1,270",27,"1,297",0,"1,297",368,"1,665",77.90
　　,景福里,"1,433",9,479,106,363,957,19,976,0,976,265,"1,241",78.65
　　,景福里,"1,434",8,494,139,334,975,25,"1,000",0,"1,000",254,"1,254",79.74
　　,景安里,"1,435",5,254,64,207,530,13,543,0,543,164,707,76.80
　　,景安里,"1,436",9,537,104,241,891,20,911,0,911,262,"1,173",77.66
　　,景安里,"1,437",9,472,152,376,"1,009",26,"1,035",0,"1,035",253,"1,288",80.36
　　,景安里,"1,438",10,340,111,287,748,16,764,0,764,191,955,80.00
　　,景文里,"1,439",10,647,197,493,"1,347",28,"1,375",0,"1,375",334,"1,709",80.46
　　,景文里,"1,440",15,445,126,389,975,18,993,0,993,288,"1,281",77.52
　　,錦和里,"1,441",14,552,121,541,"1,228",24,"1,252",0,"1,252",301,"1,553",80.62
　　,錦和里,"1,442",10,487,151,423,"1,071",27,"1,098",0,"1,098",307,"1,405",78.15
　　,錦和里,"1,443",6,474,137,464,"1,081",13,"1,094",0,"1,094",338,"1,432",76.40
　　,錦昌里,"1,444",16,734,180,479,"1,409",18,"1,427",0,"1,427",396,"1,823",78.28
　　,灰里,"1,445",1,168,38,232,439,4,443,0,443,135,578,76.64
　　,積穗里,"1,446",12,397,117,615,"1,141",22,"1,163",0,"1,163",351,"1,514",76.82
　　,積穗里,"1,447",11,402,90,354,857,20,877,0,877,219,"1,096",80.02
　　,積穗里,"1,448",9,437,77,288,811,16,827,0,827,206,"1,033",80.06
　　,積穗里,"1,449",13,397,91,288,789,16,805,0,805,189,994,80.99
　　,積穗里,"1,450",3,202,53,186,444,9,453,0,453,114,567,79.89
　　,積穗里,"1,451",10,583,118,552,"1,263",30,"1,293",0,"1,293",310,"1,603",80.66
　　,民享里,"1,452",11,389,68,377,845,21,866,0,866,205,"1,071",80.86
　　,民享里,"1,453",6,443,75,447,971,27,998,0,998,228,"1,226",81.40
　　,員山里,"1,454",12,453,88,524,"1,077",15,"1,092",0,"1,092",277,"1,369",79.77
　　,員山里,"1,455",14,404,107,552,"1,077",25,"1,102",0,"1,102",333,"1,435",76.79
　　,員山里,"1,456",21,725,180,639,"1,565",32,"1,597",0,"1,597",440,"2,037",78.40
