第8屆區域立法委員選舉臺南市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林民昌
綠黨","2
陳唐山
民主進步黨","3
李全教
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"3,494","120,401","106,619","230,514","3,485","233,999",14,"234,013","74,666","308,679",75.81
　永康區,,,"1,876","64,525","57,547","123,948","1,823","125,771",10,"125,781","42,389","168,170",74.79
　　,五王里,"1,028",14,480,448,942,10,952,0,952,348,"1,300",73.23
　　,五王里,"1,029",16,473,400,889,14,903,0,903,349,"1,252",72.12
　　,五王里,"1,030",21,507,421,949,12,961,0,961,346,"1,307",73.53
　　,五王里,"1,031",15,505,464,984,19,"1,003",0,"1,003",359,"1,362",73.64
　　,三合里,"1,032",11,378,355,744,9,753,0,753,257,"1,010",74.55
　　,三合里,"1,033",15,393,330,738,10,748,0,748,275,"1,023",73.12
　　,三合里,"1,034",9,427,370,806,12,818,0,818,328,"1,146",71.38
　　,六合里,"1,035",18,382,362,762,16,778,1,779,334,"1,113",69.90
　　,六合里,"1,036",22,555,400,977,17,994,0,994,382,"1,376",72.24
　　,六合里,"1,037",21,278,427,726,18,744,1,745,259,"1,004",74.10
　　,六合里,"1,038",14,328,448,790,21,811,0,811,355,"1,166",69.55
　　,網寮里,"1,039",14,586,409,"1,009",20,"1,029",0,"1,029",312,"1,341",76.73
　　,網寮里,"1,040",21,492,456,969,8,977,0,977,354,"1,331",73.40
　　,網寮里,"1,041",17,521,479,"1,017",12,"1,029",0,"1,029",321,"1,350",76.22
　　,網寮里,"1,042",8,567,466,"1,041",12,"1,053",0,"1,053",360,"1,413",74.52
　　,二王里,"1,043",9,493,447,949,14,963,0,963,351,"1,314",73.29
　　,二王里,"1,044",11,432,537,980,19,999,0,999,342,"1,341",74.50
　　,二王里,"1,045",14,601,615,"1,230",10,"1,240",0,"1,240",363,"1,603",77.35
　　,二王里,"1,046",24,441,476,941,12,953,0,953,319,"1,272",74.92
　　,二王里,"1,047",12,509,484,"1,005",16,"1,021",0,"1,021",302,"1,323",77.17
　　,永康里,"1,048",15,458,362,835,14,849,0,849,296,"1,145",74.15
　　,永康里,"1,049",6,534,307,847,10,857,0,857,285,"1,142",75.04
　　,永康里,"1,050",21,475,370,866,11,877,1,878,321,"1,199",73.14
　　,永康里,"1,051",14,536,419,969,10,979,0,979,386,"1,365",71.72
　　,永康里,"1,052",7,299,271,577,9,586,0,586,866,"1,452",40.36
　　,永康里,"1,053",21,483,409,913,13,926,0,926,387,"1,313",70.53
　　,埔園里,"1,054",12,528,374,914,15,929,0,929,333,"1,262",73.61
　　,埔園里,"1,055",20,586,392,998,16,"1,014",0,"1,014",326,"1,340",75.67
　　,埔園里,"1,056",11,629,362,"1,002",7,"1,009",0,"1,009",338,"1,347",74.91
　　,埔園里,"1,057",15,579,373,967,16,983,0,983,271,"1,254",78.39
　　,埔園里,"1,058",15,572,382,969,19,988,0,988,309,"1,297",76.18
　　,埔園里,"1,059",19,585,375,979,15,994,0,994,326,"1,320",75.30
　　,正強里,"1,060",18,575,446,"1,039",17,"1,056",0,"1,056",322,"1,378",76.63
　　,正強里,"1,061",13,570,425,"1,008",18,"1,026",0,"1,026",309,"1,335",76.85
　　,正強里,"1,062",11,666,411,"1,088",16,"1,104",0,"1,104",320,"1,424",77.53
　　,正強里,"1,063",13,570,382,965,14,979,0,979,316,"1,295",75.60
　　,正強里,"1,064",18,433,503,954,22,976,0,976,372,"1,348",72.40
　　,大橋里,"1,065",10,471,492,973,15,988,0,988,348,"1,336",73.95
　　,大橋里,"1,066",18,497,413,928,15,943,0,943,302,"1,245",75.74
　　,大橋里,"1,067",14,490,489,993,13,"1,006",0,"1,006",310,"1,316",76.44
　　,大橋里,"1,068",17,459,473,949,12,961,0,961,276,"1,237",77.69
　　,東橋里,"1,069",14,438,460,912,11,923,0,923,281,"1,204",76.66
　　,東橋里,"1,070",21,601,548,"1,170",18,"1,188",0,"1,188",318,"1,506",78.88
　　,東橋里,"1,071",13,292,216,521,5,526,2,528,156,684,76.90
　　,西橋里,"1,072",13,629,479,"1,121",25,"1,146",0,"1,146",400,"1,546",74.13
　　,西橋里,"1,073",16,548,481,"1,045",13,"1,058",0,"1,058",367,"1,425",74.25
　　,安康里,"1,074",20,443,425,888,18,906,0,906,291,"1,197",75.69
