第8屆區域立法委員選舉新北市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
王安娜
台灣國民會議","2
錢薇娟
中國國民黨","3
林淑芬
民主進步黨","4
龔尤倩
人民民主陣線","5
計京生
中華民國臺灣基本法連線",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"1,292","76,768","114,091","1,428",700,"194,279","3,000","197,279",12,"197,291","63,102","260,393",75.76
　五股區,,,293,"18,495","25,296",299,178,"44,561",616,"45,177",5,"45,182","14,746","59,928",75.39
　　,興珍里,223,8,375,718,5,4,"1,110",28,"1,138",0,"1,138",327,"1,465",77.68
　　,興珍里,224,5,402,712,13,5,"1,137",17,"1,154",1,"1,155",393,"1,548",74.55
　　,興珍里,225,1,255,700,3,0,959,14,973,0,973,252,"1,225",79.43
　　,更寮里,226,5,194,651,3,5,858,10,868,0,868,211,"1,079",80.44
　　,觀音里,227,13,255,655,8,3,934,17,951,0,951,310,"1,261",75.42
　　,集福里,228,7,512,641,2,4,"1,166",11,"1,177",0,"1,177",376,"1,553",75.79
　　,集福里,229,3,329,398,6,5,741,10,751,0,751,248,999,75.18
　　,集福里,230,3,114,246,1,3,367,7,374,0,374,100,474,78.90
　　,集賢里,231,7,416,679,13,3,"1,118",20,"1,138",0,"1,138",345,"1,483",76.74
　　,集賢里,232,6,353,748,6,6,"1,119",10,"1,129",0,"1,129",424,"1,553",72.70
　　,成德里,233,8,278,546,6,4,842,10,852,0,852,293,"1,145",74.41
　　,成德里,234,3,256,590,7,6,862,5,867,0,867,280,"1,147",75.59
　　,成州里,235,7,366,737,10,1,"1,121",11,"1,132",0,"1,132",364,"1,496",75.67
　　,成州里,236,8,370,624,6,1,"1,009",14,"1,023",1,"1,024",367,"1,391",73.54
　　,成州里,237,4,367,745,9,3,"1,128",13,"1,141",0,"1,141",354,"1,495",76.32
　　,成功里,238,7,340,648,7,0,"1,002",11,"1,013",0,"1,013",355,"1,368",74.05
　　,成功里,239,6,325,565,6,2,904,22,926,0,926,399,"1,325",69.89
　　,成功里,240,7,365,644,10,2,"1,028",13,"1,041",0,"1,041",375,"1,416",73.52
　　,成泰里,241,4,278,602,5,2,891,14,905,0,905,333,"1,238",73.10
　　,成泰里,242,4,391,616,4,5,"1,020",9,"1,029",0,"1,029",335,"1,364",75.44
　　,成泰里,243,7,295,572,3,1,878,7,885,0,885,288,"1,173",75.45
　　,五龍里,244,4,245,703,7,2,961,8,969,0,969,269,"1,238",78.27
　　,五福里,245,5,442,600,4,5,"1,056",15,"1,071",0,"1,071",316,"1,387",77.22
　　,五福里,246,12,446,644,10,6,"1,118",8,"1,126",0,"1,126",345,"1,471",76.55
　　,六福里,247,6,476,506,6,4,998,13,"1,011",0,"1,011",320,"1,331",75.96
　　,六福里,248,7,477,533,9,7,"1,033",15,"1,048",1,"1,049",335,"1,384",75.72
　　,民義里,249,6,407,531,11,4,959,8,967,0,967,291,"1,258",76.87
　　,民義里,250,7,427,570,6,5,"1,015",15,"1,030",0,"1,030",293,"1,323",77.85
　　,五股里,251,9,435,723,13,9,"1,189",18,"1,207",0,"1,207",675,"1,882",64.13
　　,五股里,252,3,435,735,6,6,"1,185",17,"1,202",0,"1,202",379,"1,581",76.03
　　,德音里,253,9,425,468,7,0,909,17,926,0,926,313,"1,239",74.74
　　,德音里,254,6,448,492,8,2,956,14,970,0,970,244,"1,214",79.90
　　,德音里,255,9,460,633,1,4,"1,107",25,"1,132",0,"1,132",333,"1,465",77.27
　　,水碓里,256,7,449,678,11,6,"1,151",19,"1,170",0,"1,170",406,"1,576",74.24
　　,水碓里,257,5,410,570,5,3,993,14,"1,007",2,"1,009",323,"1,332",75.60
　　,水碓里,258,7,481,603,12,1,"1,104",11,"1,115",0,"1,115",352,"1,467",76.01
　　,水碓里,259,9,524,639,7,5,"1,184",18,"1,202",0,"1,202",353,"1,555",77.30
　　,福德里,260,5,369,436,4,1,815,11,826,0,826,321,"1,147",72.01
　　,福德里,261,4,394,396,5,6,805,8,813,0,813,422,"1,235",65.83
　　,德泰里,262,10,324,437,4,3,778,14,792,0,792,294,"1,086",72.93
　　,德泰里,263,6,355,340,9,2,712,7,719,0,719,304,"1,023",70.28
　　,德泰里,264,10,446,471,9,4,940,16,956,0,956,342,"1,298",73.65
　　,貿商里,265,12,701,282,6,6,"1,007",17,"1,024",0,"1,024",238,"1,262",81.14
　　,貿商里,266,6,799,137,3,5,950,19,969,0,969,205,"1,174",82.54
　　,陸一里,267,1,616,82,1,4,704,10,714,0,714,156,870,82.07
　　,陸一里,268,5,668,50,2,13,738,6,744,0,744,188,932,79.83
　蘆洲區,,,658,"42,931","65,072",775,367,"109,803","1,635","111,438",6,"111,444","36,253","147,697",75.45
　　,光華里,269,5,465,588,6,4,"1,068",13,"1,081",0,"1,081",332,"1,413",76.50
　　,光華里,270,6,427,662,8,4,"1,107",19,"1,126",0,"1,126",368,"1,494",75.37
　　,光華里,271,6,393,532,5,4,940,13,953,0,953,303,"1,256",75.88
　　,光明里,272,2,327,524,5,3,861,11,872,0,872,294,"1,166",74.79
　　,光明里,273,6,278,517,7,2,810,13,823,0,823,331,"1,154",71.32
　　,光明里,274,3,519,667,6,5,"1,200",7,"1,207",0,"1,207",348,"1,555",77.62
　　,中路里,275,2,426,627,10,2,"1,067",22,"1,089",0,"1,089",322,"1,411",77.18
　　,中路里,276,2,522,835,6,5,"1,370",24,"1,394",0,"1,394",406,"1,800",77.44
　　,永安里,277,4,383,595,2,2,986,13,999,0,999,280,"1,279",78.11
　　,永安里,278,5,388,560,8,3,964,15,979,0,979,245,"1,224",79.98
　　,永安里,279,5,412,693,10,2,"1,122",17,"1,139",0,"1,139",337,"1,476",77.17
　　,九芎里,280,4,341,641,7,4,997,8,"1,005",0,"1,005",396,"1,401",71.73
　　,九芎里,281,8,402,672,8,6,"1,096",7,"1,103",0,"1,103",364,"1,467",75.19
　　,九芎里,282,3,424,560,6,7,"1,000",14,"1,014",0,"1,014",380,"1,394",72.74
　　,延平里,283,5,452,742,22,3,"1,224",12,"1,236",0,"1,236",377,"1,613",76.63
　　,延平里,284,5,436,759,4,4,"1,208",19,"1,227",0,"1,227",392,"1,619",75.79
　　,中華里,285,7,369,695,15,1,"1,087",17,"1,104",0,"1,104",295,"1,399",78.91
　　,中華里,286,4,412,591,5,4,"1,016",18,"1,034",0,"1,034",311,"1,345",76.88
　　,中原里,287,5,445,626,6,4,"1,086",15,"1,101",0,"1,101",344,"1,445",76.19
　　,中原里,288,7,335,708,5,3,"1,058",4,"1,062",0,"1,062",348,"1,410",75.32
　　,中原里,289,0,372,550,3,1,926,10,936,0,936,329,"1,265",73.99
　　,長安里,290,9,339,595,8,4,955,8,963,0,963,373,"1,336",72.08
　　,長安里,291,4,317,606,8,2,937,12,949,0,949,345,"1,294",73.34
　　,長安里,292,5,398,634,7,2,"1,046",10,"1,056",0,"1,056",414,"1,470",71.84
　　,忠義里,293,7,394,550,11,3,965,13,978,0,978,313,"1,291",75.76
　　,忠義里,294,8,382,587,8,1,986,20,"1,006",0,"1,006",256,"1,262",79.71
　　,正義里,295,5,534,677,13,6,"1,235",18,"1,253",0,"1,253",296,"1,549",80.89
　　,正義里,296,7,503,644,11,4,"1,169",14,"1,183",0,"1,183",274,"1,457",81.19
　　,正義里,297,3,578,750,7,3,"1,341",14,"1,355",0,"1,355",289,"1,644",82.42
　　,正義里,298,1,553,723,5,2,"1,284",14,"1,298",0,"1,298",363,"1,661",78.15
　　,正義里,299,3,427,569,10,3,"1,012",16,"1,028",0,"1,028",290,"1,318",78.00
　　,南港里,300,7,476,714,8,1,"1,206",22,"1,228",0,"1,228",432,"1,660",73.98
　　,南港里,301,5,394,630,4,6,"1,039",15,"1,054",0,"1,054",334,"1,388",75.94
　　,南港里,302,11,386,636,4,6,"1,043",11,"1,054",0,"1,054",344,"1,398",75.39
　　,永樂里,303,6,508,653,9,3,"1,179",12,"1,191",0,"1,191",339,"1,530",77.84
　　,永樂里,304,3,427,712,7,3,"1,152",13,"1,165",1,"1,166",359,"1,525",76.39
　　,永樂里,305,6,513,712,3,4,"1,238",21,"1,259",0,"1,259",388,"1,647",76.44
　　,成功里,306,5,379,612,4,1,"1,001",17,"1,018",0,"1,018",286,"1,304",78.07
　　,成功里,307,8,411,622,8,5,"1,054",21,"1,075",0,"1,075",356,"1,431",75.12
　　,成功里,308,9,429,659,4,2,"1,103",15,"1,118",0,"1,118",370,"1,488",75.13
　　,成功里,309,8,367,680,4,3,"1,062",13,"1,075",0,"1,075",338,"1,413",76.08
　　,永康里,310,8,487,700,5,2,"1,202",17,"1,219",0,"1,219",405,"1,624",75.06
　　,永康里,311,3,497,872,13,3,"1,388",28,"1,416",0,"1,416",448,"1,864",75.97
　　,永康里,312,3,484,695,6,2,"1,190",25,"1,215",0,"1,215",456,"1,671",72.71
　　,永德里,313,10,522,704,6,7,"1,249",28,"1,277",0,"1,277",437,"1,714",74.50
　　,永德里,314,8,468,785,10,1,"1,272",25,"1,297",0,"1,297",489,"1,786",72.62
　　,樓厝里,315,12,632,840,12,7,"1,503",18,"1,521",0,"1,521",442,"1,963",77.48
　　,樓厝里,316,3,473,625,6,6,"1,113",17,"1,130",0,"1,130",412,"1,542",73.28
　　,樓厝里,317,7,414,582,7,3,"1,013",19,"1,032",0,"1,032",332,"1,364",75.66
　　,信義里,318,12,454,754,9,1,"1,230",23,"1,253",0,"1,253",418,"1,671",74.99
　　,信義里,319,8,510,769,12,7,"1,306",21,"1,327",0,"1,327",420,"1,747",75.96
　　,玉清里,320,9,248,457,5,4,723,11,734,0,734,225,959,76.54
　　,玉清里,321,7,664,778,9,5,"1,463",23,"1,486",0,"1,486",434,"1,920",77.40
　　,玉清里,322,8,478,670,10,3,"1,169",29,"1,198",0,"1,198",383,"1,581",75.77
　　,復興里,323,4,341,723,6,4,"1,078",17,"1,095",0,"1,095",374,"1,469",74.54
　　,復興里,324,4,370,690,12,2,"1,078",18,"1,096",0,"1,096",318,"1,414",77.51
　　,福安里,325,7,342,622,2,3,976,13,989,1,990,309,"1,299",76.14
　　,福安里,326,7,408,552,17,6,990,23,"1,013",0,"1,013",282,"1,295",78.22
　　,鷺江里,327,4,431,614,8,5,"1,062",20,"1,082",1,"1,083",324,"1,407",76.90
　　,鷺江里,328,8,463,639,9,5,"1,124",23,"1,147",0,"1,147",341,"1,488",77.08
　　,鷺江里,329,11,449,701,5,6,"1,172",5,"1,177",0,"1,177",385,"1,562",75.35
　　,恆德里,330,9,581,663,9,2,"1,264",23,"1,287",0,"1,287",469,"1,756",73.29
　　,恆德里,331,8,489,591,11,2,"1,101",15,"1,116",1,"1,117",372,"1,489",74.95
　　,恆德里,332,2,521,683,6,1,"1,213",19,"1,232",0,"1,232",486,"1,718",71.71
　　,溪墘里,333,6,292,658,9,2,967,19,986,0,986,292,"1,278",77.15
　　,溪墘里,334,2,465,647,7,2,"1,123",14,"1,137",0,"1,137",362,"1,499",75.85
　　,仁復里,335,1,589,791,5,10,"1,396",21,"1,417",0,"1,417",400,"1,817",77.99
　　,仁德里,336,8,460,742,7,5,"1,222",19,"1,241",0,"1,241",415,"1,656",74.94
　　,仁德里,337,9,415,603,9,9,"1,045",11,"1,056",0,"1,056",286,"1,342",78.69
　　,仁德里,338,4,425,714,12,1,"1,156",17,"1,173",0,"1,173",370,"1,543",76.02
　　,仁義里,339,9,465,722,13,5,"1,214",19,"1,233",0,"1,233","1,247","2,480",49.72
　　,仁義里,340,4,272,606,10,1,893,13,906,0,906,276,"1,182",76.65
　　,得勝里,341,5,385,529,7,4,930,18,948,0,948,311,"1,259",75.30
　　,得勝里,342,7,424,720,5,3,"1,159",28,"1,187",1,"1,188",398,"1,586",74.84
　　,得仁里,343,7,396,556,10,3,972,16,988,0,988,303,"1,291",76.53
　　,得仁里,344,3,393,626,5,3,"1,030",20,"1,050",0,"1,050",295,"1,345",78.07
　　,保和里,345,7,315,466,6,1,795,18,813,0,813,242,"1,055",77.06
　　,保和里,346,9,319,500,4,5,837,22,859,0,859,282,"1,141",75.28
　　,樹德里,347,10,485,698,11,3,"1,207",9,"1,216",0,"1,216",331,"1,547",78.60
　　,樹德里,348,7,422,516,6,2,953,14,967,0,967,310,"1,277",75.72
