第8屆區域立法委員選舉雲林縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
許舒博
中國國民黨","2
王美心
人民最大黨","3
劉建國
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
　　,古坑村,524,251,11,374,636,16,652,0,652,289,941,69.29
　　,古坑村,525,296,18,464,778,8,786,0,786,414,"1,200",65.50
　　,朝陽村,526,250,8,405,663,8,671,0,671,277,948,70.78
　　,朝陽村,527,281,7,448,736,12,748,0,748,334,"1,082",69.13
　　,西平村,528,366,14,588,968,13,981,0,981,399,"1,380",71.09
　　,湳仔村,529,177,9,323,509,9,518,0,518,177,695,74.53
　　,永光村,530,240,13,421,674,13,687,0,687,299,986,69.68
　　,永光村,531,242,15,407,664,6,670,0,670,278,948,70.68
　　,永昌村,532,259,16,436,711,16,727,0,727,352,"1,079",67.38
　　,永昌村,533,245,8,406,659,11,670,0,670,281,951,70.45
　　,麻園村,534,120,8,347,475,13,488,0,488,201,689,70.83
　　,崁腳村,535,315,13,501,829,7,836,0,836,409,"1,245",67.15
　　,華南村,536,79,3,123,205,5,210,0,210,86,296,70.95
　　,華山村,537,138,4,328,470,5,475,0,475,283,758,62.66
　　,桂林村,538,227,12,534,773,11,784,0,784,346,"1,130",69.38
　　,樟湖村,539,107,3,222,332,8,340,0,340,161,501,67.86
　　,草嶺村,540,194,9,244,447,1,448,0,448,157,605,74.05
