第8屆區域立法委員選舉臺中市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃義交
中國國民黨","2
王名江
中華民國臺灣基本法連線","3
曾坤炳
健保免費連線","4
林佳龍
民主進步黨","5
賀姿華
無黨籍及未經政黨推薦","6
林幸杰
無黨籍及未經政黨推薦","7
蔡和興
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
　　,工學里,"1,139",524,0,7,474,10,1,4,"1,020",11,"1,031",0,"1,031",306,"1,337",77.11
　　,樹德里,"1,140",388,1,7,407,7,2,4,816,11,827,0,827,226,"1,053",78.54
　　,樹德里,"1,141",565,1,7,532,16,2,2,"1,125",20,"1,145",0,"1,145",408,"1,553",73.73
　　,樹德里,"1,142",583,5,9,496,13,1,1,"1,108",13,"1,121",0,"1,121",286,"1,407",79.67
　　,樹德里,"1,143",275,1,2,351,11,0,1,641,11,652,0,652,168,820,79.51
　　,樹德里,"1,144",573,7,6,496,6,1,2,"1,091",13,"1,104",0,"1,104",340,"1,444",76.45
　　,西川里,"1,145",620,3,13,704,11,4,5,"1,360",15,"1,375",0,"1,375",413,"1,788",76.90
　　,西川里,"1,146",679,3,10,673,16,4,14,"1,399",17,"1,416",0,"1,416",471,"1,887",75.04
　　,崇倫里,"1,147",441,6,7,689,12,2,2,"1,159",23,"1,182",0,"1,182",311,"1,493",79.17
　　,崇倫里,"1,148",581,4,14,656,11,3,2,"1,271",14,"1,285",0,"1,285",385,"1,670",76.95
　　,崇倫里,"1,149",442,0,10,453,13,2,4,924,12,936,0,936,328,"1,264",74.05
