第8屆區域立法委員選舉高雄市第8選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林景元
無黨籍及未經政黨推薦","2
鄭復華
無黨籍及未經政黨推薦","3
黃謙福
人民最大黨","4
許智傑
民主進步黨","5
江玲君
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"2,370","3,069",777,"104,292","90,186","200,694","2,479","203,173",6,"203,179","63,779","266,958",76.11
　鳳山區,,,"2,370","3,069",777,"104,292","90,186","200,694","2,479","203,173",6,"203,179","63,779","266,958",76.11
　　,鳳崗里,"1,382",12,17,2,391,414,836,14,850,0,850,276,"1,126",75.49
　　,縣衙里,"1,383",9,5,4,256,332,606,11,617,0,617,227,844,73.10
　　,曹公里,"1,384",13,8,2,379,258,660,3,663,0,663,262,925,71.68
　　,曹公里,"1,385",16,15,2,391,383,807,6,813,0,813,284,"1,097",74.11
　　,鎮西里,"1,386",14,21,7,487,438,967,18,985,0,985,283,"1,268",77.68
　　,鎮西里,"1,387",18,15,2,571,363,969,11,980,0,980,260,"1,240",79.03
　　,鎮西里,"1,388",9,14,9,596,394,"1,022",12,"1,034",0,"1,034",279,"1,313",78.75
　　,鎮西里,"1,389",15,15,2,466,350,848,19,867,0,867,240,"1,107",78.32
　　,北門里,"1,390",3,9,1,428,316,757,11,768,0,768,232,"1,000",76.80
　　,北門里,"1,391",9,13,4,422,344,792,11,803,0,803,244,"1,047",76.70
　　,北門里,"1,392",9,13,5,280,223,530,6,536,0,536,163,699,76.68
　　,北門里,"1,393",18,16,2,517,338,891,18,909,0,909,281,"1,190",76.39
　　,鎮北里,"1,394",17,13,2,489,315,836,7,843,0,843,288,"1,131",74.54
　　,鎮北里,"1,395",16,16,5,649,325,"1,011",18,"1,029",0,"1,029",349,"1,378",74.67
　　,鎮北里,"1,396",6,17,3,386,343,755,9,764,0,764,284,"1,048",72.90
　　,鎮北里,"1,397",13,8,6,511,407,945,12,957,0,957,250,"1,207",79.29
　　,武松里,"1,398",14,15,3,596,464,"1,092",13,"1,105",0,"1,105",280,"1,385",79.78
　　,武松里,"1,399",14,10,0,441,397,862,16,878,0,878,322,"1,200",73.17
　　,忠誠里,"1,400",15,20,2,577,433,"1,047",10,"1,057",1,"1,058",343,"1,401",75.45
　　,忠誠里,"1,401",14,16,5,645,401,"1,081",12,"1,093",0,"1,093",336,"1,429",76.49
　　,文英里,"1,402",13,7,5,479,272,776,8,784,0,784,224,"1,008",77.78
　　,文英里,"1,403",7,15,1,421,331,775,4,779,0,779,242,"1,021",76.30
　　,文英里,"1,404",8,19,3,341,409,780,10,790,0,790,246,"1,036",76.25
　　,文華里,"1,405",6,32,7,99,"1,016","1,160",12,"1,172",0,"1,172",341,"1,513",77.46
　　,文華里,"1,406",17,9,4,483,363,876,14,890,0,890,249,"1,139",78.14
　　,文華里,"1,407",9,10,2,452,431,904,14,918,0,918,275,"1,193",76.95
　　,文華里,"1,408",26,14,5,455,441,941,13,954,0,954,340,"1,294",73.72
　　,文華里,"1,409",5,12,1,411,447,876,13,889,0,889,206,"1,095",81.19
　　,文華里,"1,410",18,9,5,537,457,"1,026",19,"1,045",1,"1,046",274,"1,320",79.17
　　,文山里,"1,411",21,12,6,478,273,790,5,795,0,795,250,"1,045",76.08
　　,文山里,"1,412",21,10,3,569,426,"1,029",16,"1,045",0,"1,045",358,"1,403",74.48
　　,文山里,"1,413",12,7,3,538,249,809,9,818,0,818,287,"1,105",74.03
　　,文山里,"1,414",14,18,7,486,278,803,12,815,0,815,235,"1,050",77.62
　　,文山里,"1,415",5,13,3,282,353,656,12,668,0,668,197,865,77.23
　　,文德里,"1,416",16,21,3,463,565,"1,068",13,"1,081",0,"1,081",357,"1,438",75.17
　　,文德里,"1,417",15,24,2,479,511,"1,031",13,"1,044",0,"1,044",399,"1,443",72.35
　　,文德里,"1,418",10,23,6,491,507,"1,037",10,"1,047",0,"1,047",364,"1,411",74.20
　　,文德里,"1,419",7,23,3,519,551,"1,103",12,"1,115",0,"1,115",396,"1,511",73.79
