第8屆區域立法委員選舉高雄市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
邱志偉
民主進步黨","2
謝長利
無黨籍及未經政黨推薦","3
林益世
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
　　,新莊里,476,186,4,109,299,5,304,0,304,51,355,85.63
　　,新莊里,477,134,1,248,383,8,391,0,391,156,547,71.48
　　,甲北里,478,512,17,294,823,12,835,0,835,207,"1,042",80.13
　　,甲北里,479,330,10,305,645,14,659,0,659,183,842,78.27
　　,甲南里,480,479,12,361,852,20,872,0,872,206,"1,078",80.89
　　,甲南里,481,527,16,391,934,10,944,0,944,241,"1,185",79.66
　　,頂鹽里,482,543,7,354,904,15,919,0,919,243,"1,162",79.09
　　,中崎里,483,342,14,161,517,7,524,0,524,141,665,78.80
　　,仕和里,484,603,15,335,953,13,966,0,966,232,"1,198",80.63
　　,仕和里,485,554,12,346,912,13,925,0,925,240,"1,165",79.40
　　,仕和里,486,546,14,365,925,11,936,0,936,166,"1,102",84.94
　　,德松里,487,539,16,368,923,15,938,0,938,209,"1,147",81.78
　　,三德里,488,450,7,161,618,8,626,0,626,123,749,83.58
