第8屆區域立法委員選舉臺北市第7選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
潘翰聲
綠黨","2
胡光慈
人民最大黨","3
霍汶琳
台灣主義黨","4
黎俊廷
無黨籍及未經政黨推薦","5
費鴻泰
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"43,449","1,718","2,619","19,260","114,009","181,055","4,803","185,858",19,"185,877","57,056","242,933",76.51
　松山區,,,"11,751",475,800,"4,781","27,288","45,095","1,455","46,550",11,"46,561","14,710","61,271",75.97
　　,慈祐里,"1,210",381,20,30,168,768,"1,367",46,"1,413",0,"1,413",424,"1,837",76.92
　　,慈祐里,"1,211",355,21,31,171,595,"1,173",51,"1,224",0,"1,224","1,426","2,650",46.19
　　,慈祐里,"1,212",396,13,34,211,801,"1,455",41,"1,496",0,"1,496",509,"2,005",74.61
　　,吉祥里,"1,213",335,15,32,134,623,"1,139",33,"1,172",0,"1,172",318,"1,490",78.66
　　,吉祥里,"1,214",237,9,15,66,632,959,32,991,0,991,335,"1,326",74.74
　　,吉祥里,"1,215",281,12,10,87,645,"1,035",26,"1,061",0,"1,061",352,"1,413",75.09
　　,吉祥里,"1,216",272,12,9,53,680,"1,026",36,"1,062",0,"1,062",347,"1,409",75.37
　　,吉祥里,"1,217",231,11,19,106,665,"1,032",33,"1,065",0,"1,065",318,"1,383",77.01
　　,新聚里,"1,218",351,20,28,143,753,"1,295",35,"1,330",0,"1,330",400,"1,730",76.88
　　,新聚里,"1,219",339,18,34,146,681,"1,218",56,"1,274",0,"1,274",358,"1,632",78.06
　　,新聚里,"1,220",265,12,20,115,674,"1,086",47,"1,133",0,"1,133",342,"1,475",76.81
　　,新聚里,"1,221",324,6,28,115,802,"1,275",41,"1,316",0,"1,316",406,"1,722",76.42
　　,復盛里,"1,222",315,13,8,226,954,"1,516",25,"1,541",0,"1,541",317,"1,858",82.94
　　,復盛里,"1,223",304,14,23,165,829,"1,335",32,"1,367",0,"1,367",368,"1,735",78.79
　　,復盛里,"1,224",352,18,22,107,877,"1,376",41,"1,417",0,"1,417",382,"1,799",78.77
　　,中正里,"1,225",291,9,14,103,636,"1,053",27,"1,080",10,"1,090",297,"1,387",77.87
　　,中正里,"1,226",359,9,22,145,569,"1,104",41,"1,145",0,"1,145",365,"1,510",75.83
　　,中正里,"1,227",317,18,22,95,707,"1,159",55,"1,214",0,"1,214",380,"1,594",76.16
　　,中正里,"1,228",260,14,20,127,585,"1,006",58,"1,064",0,"1,064",302,"1,366",77.89
　　,中正里,"1,229",278,21,23,116,660,"1,098",38,"1,136",0,"1,136",373,"1,509",75.28
　　,中崙里,"1,230",285,16,20,130,837,"1,288",40,"1,328",0,"1,328",393,"1,721",77.16
　　,中崙里,"1,231",284,10,18,153,701,"1,166",32,"1,198",0,"1,198",322,"1,520",78.82
　　,美仁里,"1,232",321,13,27,114,620,"1,095",35,"1,130",1,"1,131",329,"1,460",77.40
　　,美仁里,"1,233",268,4,12,88,570,942,36,978,0,978,277,"1,255",77.93
　　,吉仁里,"1,234",310,11,20,123,715,"1,179",28,"1,207",0,"1,207",372,"1,579",76.44
　　,吉仁里,"1,235",297,9,15,134,843,"1,298",49,"1,347",0,"1,347",372,"1,719",78.36
　　,敦化里,"1,236",268,8,13,100,638,"1,027",20,"1,047",0,"1,047",331,"1,378",75.98
　　,敦化里,"1,237",337,13,18,120,721,"1,209",28,"1,237",0,"1,237",338,"1,575",78.54
　　,敦化里,"1,238",305,8,11,121,699,"1,144",38,"1,182",0,"1,182",309,"1,491",79.28
　　,敦化里,"1,239",275,10,13,120,564,982,33,"1,015",0,"1,015",290,"1,305",77.78
　　,復源里,"1,240",260,10,16,114,704,"1,104",33,"1,137",0,"1,137",315,"1,452",78.31
　　,復源里,"1,241",179,10,19,84,567,859,29,888,0,888,294,"1,182",75.13
　　,復建里,"1,242",255,8,14,103,862,"1,242",25,"1,267",0,"1,267",384,"1,651",76.74
　　,復建里,"1,243",320,14,29,136,901,"1,400",45,"1,445",0,"1,445",448,"1,893",76.33
　　,復勢里,"1,244",425,13,28,125,663,"1,254",35,"1,289",0,"1,289",331,"1,620",79.57
　　,復勢里,"1,245",406,12,26,117,839,"1,400",39,"1,439",0,"1,439",378,"1,817",79.20
　　,復勢里,"1,246",305,6,26,104,736,"1,177",51,"1,228",0,"1,228",378,"1,606",76.46
　　,福成里,"1,247",208,9,15,108,561,901,40,941,0,941,302,"1,243",75.70
　　,福成里,"1,248",200,6,16,88,411,721,25,746,0,746,228,974,76.59
　信義區,,,"31,698","1,243","1,819","14,479","86,721","135,960","3,348","139,308",8,"139,316","42,346","181,662",76.69
　　,西村里,"1,077",160,10,13,41,815,"1,039",24,"1,063",0,"1,063","1,344","2,407",44.16
　　,西村里,"1,078",136,5,6,36,867,"1,050",24,"1,074",0,"1,074",276,"1,350",79.56
　　,西村里,"1,079",154,5,9,63,766,997,22,"1,019",0,"1,019",293,"1,312",77.67
　　,正和里,"1,080",185,5,12,73,706,981,21,"1,002",0,"1,002",281,"1,283",78.10
　　,正和里,"1,081",188,7,6,72,691,964,25,989,1,990,253,"1,243",79.57
　　,正和里,"1,082",212,1,13,65,668,959,22,981,0,981,334,"1,315",74.60
　　,興隆里,"1,083",124,9,12,69,522,736,18,754,0,754,281,"1,035",72.85
　　,興隆里,"1,084",253,11,9,84,631,988,30,"1,018",0,"1,018",396,"1,414",71.99
　　,中興里,"1,085",230,10,15,88,627,970,24,994,0,994,358,"1,352",73.52
　　,中興里,"1,086",245,8,16,90,625,984,22,"1,006",0,"1,006",442,"1,448",69.48
　　,新仁里,"1,087",270,7,7,54,783,"1,121",17,"1,138",0,"1,138",354,"1,492",76.27
　　,新仁里,"1,088",309,8,8,70,637,"1,032",20,"1,052",0,"1,052",315,"1,367",76.96
　　,興雅里,"1,089",290,10,8,92,817,"1,217",41,"1,258",0,"1,258",392,"1,650",76.24
　　,興雅里,"1,090",377,9,24,113,679,"1,202",22,"1,224",0,"1,224",326,"1,550",78.97
　　,興雅里,"1,091",352,11,15,105,792,"1,275",30,"1,305",0,"1,305",371,"1,676",77.86
　　,敦厚里,"1,092",217,10,14,126,658,"1,025",33,"1,058",0,"1,058",348,"1,406",75.25
　　,敦厚里,"1,093",255,11,14,120,596,996,27,"1,023",0,"1,023",328,"1,351",75.72
　　,敦厚里,"1,094",302,8,13,117,721,"1,161",21,"1,182",0,"1,182",321,"1,503",78.64
　　,廣居里,"1,095",243,4,11,67,665,990,33,"1,023",0,"1,023",290,"1,313",77.91
　　,廣居里,"1,096",192,8,13,96,576,885,9,894,0,894,266,"1,160",77.07
　　,廣居里,"1,097",189,8,13,78,641,929,15,944,0,944,232,"1,176",80.27
　　,廣居里,"1,098",253,9,6,60,636,964,25,989,0,989,315,"1,304",75.84
　　,廣居里,"1,099",250,11,10,103,646,"1,020",24,"1,044",0,"1,044",286,"1,330",78.50
　　,安康里,"1,100",291,8,9,96,616,"1,020",21,"1,041",0,"1,041",290,"1,331",78.21
　　,安康里,"1,101",272,11,8,109,688,"1,088",27,"1,115",0,"1,115",277,"1,392",80.10
　　,安康里,"1,102",243,5,9,79,585,921,15,936,0,936,266,"1,202",77.87
　　,安康里,"1,103",190,6,10,68,515,789,30,819,0,819,286,"1,105",74.12
　　,安康里,"1,104",275,8,16,96,770,"1,165",37,"1,202",0,"1,202",398,"1,600",75.13
　　,安康里,"1,105",166,7,7,109,639,928,26,954,0,954,295,"1,249",76.38
　　,六藝里,"1,106",312,16,21,133,717,"1,199",29,"1,228",0,"1,228",375,"1,603",76.61
　　,六藝里,"1,107",348,8,21,130,633,"1,140",32,"1,172",0,"1,172",268,"1,440",81.39
　　,雅祥里,"1,108",230,12,16,124,472,854,21,875,0,875,265,"1,140",76.75
　　,雅祥里,"1,109",298,10,15,99,627,"1,049",27,"1,076",0,"1,076",339,"1,415",76.04
　　,雅祥里,"1,110",338,16,15,116,595,"1,080",33,"1,113",0,"1,113",362,"1,475",75.46
　　,五常里,"1,111",324,10,22,123,676,"1,155",29,"1,184",0,"1,184",346,"1,530",77.39
　　,五常里,"1,112",336,16,19,100,732,"1,203",30,"1,233",0,"1,233",347,"1,580",78.04
　　,五全里,"1,113",389,6,10,101,619,"1,125",30,"1,155",0,"1,155",371,"1,526",75.69
　　,五全里,"1,114",373,15,26,85,589,"1,088",24,"1,112",0,"1,112",248,"1,360",81.76
　　,五全里,"1,115",371,7,18,92,593,"1,081",22,"1,103",0,"1,103",278,"1,381",79.87
　　,永吉里,"1,116",273,18,24,105,448,868,24,892,0,892,356,"1,248",71.47
　　,永吉里,"1,117",292,11,20,82,352,757,28,785,1,786,219,"1,005",78.11
　　,永吉里,"1,118",358,15,26,111,479,989,36,"1,025",0,"1,025",281,"1,306",78.48
　　,長春里,"1,119",305,6,9,129,470,919,25,944,0,944,300,"1,244",75.88
　　,長春里,"1,120",253,13,17,109,497,889,25,914,0,914,273,"1,187",77.00
　　,長春里,"1,121",167,7,18,98,599,889,21,910,0,910,241,"1,151",79.06
　　,四育里,"1,122",416,17,17,134,610,"1,194",25,"1,219",0,"1,219",337,"1,556",78.34
　　,四育里,"1,123",365,4,22,100,762,"1,253",39,"1,292",0,"1,292",332,"1,624",79.56
　　,四育里,"1,124",377,8,12,147,646,"1,190",41,"1,231",0,"1,231",323,"1,554",79.21
　　,四維里,"1,125",349,4,5,97,743,"1,198",26,"1,224",0,"1,224",353,"1,577",77.62
　　,四維里,"1,126",297,4,18,82,706,"1,107",30,"1,137",0,"1,137",336,"1,473",77.19
　　,四維里,"1,127",245,4,22,100,713,"1,084",23,"1,107",0,"1,107",373,"1,480",74.80
　　,永春里,"1,128",191,8,13,91,475,778,29,807,0,807,247,"1,054",76.57
　　,永春里,"1,129",216,9,14,93,467,799,34,833,0,833,222,"1,055",78.96
　　,永春里,"1,130",253,6,12,81,437,789,22,811,0,811,239,"1,050",77.24
　　,永春里,"1,131",244,12,19,83,424,782,14,796,0,796,265,"1,061",75.02
　　,富台里,"1,132",256,12,14,88,962,"1,332",29,"1,361",1,"1,362",426,"1,788",76.12
　　,富台里,"1,133",248,5,13,74,"1,003","1,343",34,"1,377",0,"1,377",394,"1,771",77.75
　　,國業里,"1,134",254,9,22,114,755,"1,154",33,"1,187",0,"1,187",343,"1,530",77.58
　　,國業里,"1,135",306,7,5,120,728,"1,166",27,"1,193",0,"1,193",343,"1,536",77.67
　　,國業里,"1,136",217,10,14,136,697,"1,074",28,"1,102",0,"1,102",316,"1,418",77.72
　　,國業里,"1,137",249,8,12,119,789,"1,177",33,"1,210",0,"1,210",360,"1,570",77.07
