第8屆區域立法委員選舉桃園縣第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳學聖
中國國民黨","2
盧照仁
台灣主義黨","3
黃仁杼
民主進步黨","4
劉文雄
親民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"97,654","1,473","72,395","9,816","181,338","2,307","183,645",2,"183,647","57,896","241,543",76.03
　　,五權里,509,469,15,534,48,"1,066",13,"1,079",0,"1,079",411,"1,490",72.42
　　,五權里,510,607,11,725,60,"1,403",19,"1,422",0,"1,422",376,"1,798",79.09
　　,五福里,511,501,13,638,54,"1,206",16,"1,222",0,"1,222",388,"1,610",75.90
　　,五福里,512,568,9,583,79,"1,239",17,"1,256",0,"1,256",418,"1,674",75.03
　　,芝芭里,513,306,8,628,39,981,5,986,0,986,245,"1,231",80.10
　　,芝芭里,514,222,9,458,36,725,6,731,0,731,254,985,74.21
　　,洽溪里,515,436,9,736,63,"1,244",22,"1,266",0,"1,266",378,"1,644",77.01
　　,內厝里,516,584,16,865,72,"1,537",19,"1,556",0,"1,556",461,"2,017",77.14
　　,內厝里,517,500,21,836,45,"1,402",18,"1,420",0,"1,420",422,"1,842",77.09
　　,月眉里,518,472,3,852,54,"1,381",14,"1,395",0,"1,395",482,"1,877",74.32
　　,月眉里,519,365,7,"1,101",35,"1,508",24,"1,532",0,"1,532",478,"2,010",76.22
　　,山東里,520,381,10,735,46,"1,172",15,"1,187",0,"1,187",339,"1,526",77.79
　　,山東里,521,369,12,885,45,"1,311",20,"1,331",0,"1,331",335,"1,666",79.89
　　,過嶺里,522,446,10,634,49,"1,139",11,"1,150",0,"1,150",305,"1,455",79.04
　　,過嶺里,523,476,13,637,57,"1,183",15,"1,198",0,"1,198",362,"1,560",76.79
