第8屆區域立法委員選舉新北市第10選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
楊木萬
綠黨","2
莊碩漢
民主進步黨","3
盧嘉辰
中國國民黨","4
游俊文
台灣主義黨","5
王金芬
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"8,598","81,520","89,570","1,324","6,873","187,885","3,407","191,292",12,"191,304","66,440","257,744",74.22
　　,有木里,"1,882",15,276,182,5,12,490,8,498,0,498,238,736,67.66
　　,二鬮里,"1,883",37,299,517,6,28,887,28,915,0,915,348,"1,263",72.45
　　,二鬮里,"1,884",37,354,514,10,23,938,21,959,0,959,368,"1,327",72.27
　　,溪南里,"1,885",39,476,401,9,30,955,11,966,0,966,322,"1,288",75.00
　　,溪北里,"1,886",29,234,201,13,12,489,4,493,0,493,148,641,76.91
　　,溪北里,"1,887",69,461,340,7,22,899,17,916,0,916,272,"1,188",77.10
　　,溪東里,"1,888",41,349,370,14,24,798,9,807,1,808,323,"1,131",71.35
　　,溪東里,"1,889",55,389,485,18,33,980,10,990,0,990,340,"1,330",74.44
　　,成福里,"1,890",19,320,261,15,19,634,11,645,0,645,204,849,75.97
　　,竹崙里,"1,891",15,366,171,13,18,583,1,584,0,584,215,799,73.09
　　,竹崙里,"1,892",20,306,323,20,22,691,13,704,0,704,276,980,71.84
　　,安坑里,"1,893",21,456,341,96,29,943,16,959,0,959,353,"1,312",73.09
