第8屆區域立法委員選舉臺北市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳彥甫
健保免費連線","2
楊煌
無黨籍及未經政黨推薦","3
劉美娟
中華民國臺灣基本法連線","4
顏聖冠
民主進步黨","5
葉玫
台灣國民會議","6
周志文
人民民主陣線","7
林郁方
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
　　,和平里,792,4,2,4,535,4,5,432,986,23,"1,009",0,"1,009",272,"1,281",78.77
　　,和平里,793,17,7,8,586,5,8,502,"1,133",22,"1,155",0,"1,155",407,"1,562",73.94
　　,和德里,794,15,3,2,635,3,3,432,"1,093",15,"1,108",0,"1,108",296,"1,404",78.92
　　,和德里,795,14,5,6,521,5,8,523,"1,082",12,"1,094",0,"1,094",397,"1,491",73.37
　　,和德里,796,10,10,5,510,9,2,512,"1,058",13,"1,071",0,"1,071",387,"1,458",73.46
　　,和德里,797,8,4,2,606,4,1,549,"1,174",19,"1,193",0,"1,193",337,"1,530",77.97
　　,全德里,798,9,5,2,359,7,2,416,800,18,818,1,819,214,"1,033",79.19
　　,全德里,799,11,2,4,512,7,5,469,"1,010",15,"1,025",0,"1,025",324,"1,349",75.98
　　,全德里,800,4,5,0,334,2,2,479,826,16,842,0,842,245,"1,087",77.46
　　,日善里,801,4,5,3,527,11,3,556,"1,109",13,"1,122",0,"1,122",328,"1,450",77.38
　　,日善里,802,7,4,8,656,6,4,675,"1,360",18,"1,378",0,"1,378",322,"1,700",81.06
　　,壽德里,803,8,2,1,563,6,5,557,"1,142",25,"1,167",0,"1,167",297,"1,464",79.71
　　,壽德里,804,5,4,0,481,3,2,593,"1,088",14,"1,102",0,"1,102",353,"1,455",75.74
　　,壽德里,805,3,3,5,539,4,1,612,"1,167",18,"1,185",0,"1,185",270,"1,455",81.44
　　,忠德里,806,7,4,2,522,9,5,433,982,7,989,0,989,276,"1,265",78.18
　　,忠德里,807,8,1,3,521,3,2,427,965,14,979,0,979,256,"1,235",79.27
　　,忠德里,808,6,1,6,524,5,4,419,965,14,979,0,979,249,"1,228",79.72
　　,錦德里,809,13,6,4,632,6,2,551,"1,214",16,"1,230",0,"1,230",306,"1,536",80.08
　　,錦德里,810,8,4,4,588,8,3,687,"1,302",19,"1,321",0,"1,321",397,"1,718",76.89
　　,錦德里,811,6,6,2,513,8,7,467,"1,009",18,"1,027",0,"1,027",315,"1,342",76.53
　　,銘德里,812,14,2,4,514,6,2,485,"1,027",20,"1,047",0,"1,047",274,"1,321",79.26
　　,銘德里,813,6,5,5,532,8,1,565,"1,122",29,"1,151",0,"1,151",306,"1,457",79.00
　　,銘德里,814,8,2,5,420,3,0,463,901,14,915,0,915,266,"1,181",77.48
　　,孝德里,815,8,4,3,662,3,2,475,"1,157",26,"1,183",1,"1,184",344,"1,528",77.42
　　,孝德里,816,8,3,1,522,8,6,436,984,17,"1,001",0,"1,001",230,"1,231",81.32
　　,保德里,817,3,3,1,458,4,0,473,942,13,955,0,955,202,"1,157",82.54
　　,保德里,818,5,3,4,483,5,5,545,"1,050",26,"1,076",0,"1,076",265,"1,341",80.24
　　,榮德里,819,14,8,4,597,8,6,533,"1,170",17,"1,187",0,"1,187",310,"1,497",79.29
　　,榮德里,820,12,6,6,659,12,3,626,"1,324",24,"1,348",0,"1,348",348,"1,696",79.48
　　,華中里,821,9,5,3,494,3,4,533,"1,051",20,"1,071",0,"1,071",304,"1,375",77.89
　　,華中里,822,5,3,1,463,7,3,414,896,15,911,0,911,298,"1,209",75.35
　　,華中里,823,7,2,0,494,2,3,482,990,18,"1,008",0,"1,008",264,"1,272",79.25
　　,華中里,824,9,5,2,549,3,1,475,"1,044",12,"1,056",0,"1,056",279,"1,335",79.10
　　,興德里,825,10,2,2,500,1,0,424,939,13,952,0,952,307,"1,259",75.62
　　,興德里,826,12,5,5,476,4,5,514,"1,021",14,"1,035",0,"1,035",284,"1,319",78.47
　　,興德里,827,8,5,3,550,4,3,475,"1,048",16,"1,064",0,"1,064",307,"1,371",77.61
　　,日祥里,828,8,3,1,248,7,0,479,746,13,759,0,759,218,977,77.69
　　,日祥里,829,6,2,2,377,4,3,622,"1,016",18,"1,034",0,"1,034",292,"1,326",77.98
　　,日祥里,830,12,3,4,332,4,3,614,972,15,987,0,987,271,"1,258",78.46
　　,日祥里,831,5,0,2,158,2,1,747,915,20,935,0,935,238,"1,173",79.71
　　,忠貞里,832,13,2,3,205,9,5,860,"1,097",27,"1,124",0,"1,124",289,"1,413",79.55
　　,忠貞里,833,7,3,2,146,5,2,720,885,14,899,0,899,218,"1,117",80.48
　　,忠貞里,834,17,3,7,546,9,4,756,"1,342",21,"1,363",0,"1,363",404,"1,767",77.14
　　,新忠里,835,8,6,3,261,4,2,568,852,22,874,0,874,309,"1,183",73.88
　　,新忠里,836,3,0,2,122,2,1,990,"1,120",10,"1,130",0,"1,130",261,"1,391",81.24
　　,新和里,837,8,5,3,148,8,3,900,"1,075",9,"1,084",0,"1,084",285,"1,369",79.18
　　,新和里,838,6,6,7,163,3,1,845,"1,031",13,"1,044",0,"1,044",297,"1,341",77.85
　　,新和里,839,8,4,1,269,6,0,756,"1,044",15,"1,059",0,"1,059",275,"1,334",79.39
