第8屆區域立法委員選舉臺北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
葉邦宗
無黨籍及未經政黨推薦","2
周佩民
台灣主義黨","3
陳振盛
親民黨","4
趙衍慶
無黨籍及未經政黨推薦","5
王雲怡
台灣國民會議","6
陳福民
無黨籍及未經政黨推薦","7
趙士強
民主進步黨","8
蔣乃辛
中國國民黨","9
王秀珠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,,,,,
　　,龍安里,960,2,1,57,0,12,5,239,455,1,772,15,787,0,787,224,"1,011",77.84
　　,龍安里,961,3,4,79,1,10,20,343,840,3,"1,303",16,"1,319",0,"1,319",369,"1,688",78.14
　　,錦安里,962,0,2,81,0,10,13,375,791,5,"1,277",24,"1,301",0,"1,301",387,"1,688",77.07
　　,錦安里,963,4,0,88,0,10,15,373,710,2,"1,202",13,"1,215",0,"1,215",322,"1,537",79.05
　　,錦安里,964,2,2,73,0,22,16,289,600,5,"1,009",33,"1,042",0,"1,042",305,"1,347",77.36
　　,福住里,965,4,0,61,0,18,16,340,597,8,"1,044",17,"1,061",0,"1,061",330,"1,391",76.28
　　,福住里,966,2,1,70,0,9,16,379,781,2,"1,260",17,"1,277",0,"1,277",404,"1,681",75.97
　　,福住里,967,1,3,81,1,7,10,372,787,2,"1,264",17,"1,281",0,"1,281",380,"1,661",77.12
　　,永康里,968,2,5,85,2,5,9,321,689,1,"1,119",15,"1,134",0,"1,134",341,"1,475",76.88
　　,永康里,969,2,4,87,1,12,14,339,624,6,"1,089",15,"1,104",0,"1,104",361,"1,465",75.36
　　,光明里,970,1,5,67,0,10,23,317,692,7,"1,122",16,"1,138",0,"1,138",342,"1,480",76.89
　　,光明里,971,5,2,59,1,15,12,352,733,5,"1,184",15,"1,199",0,"1,199",340,"1,539",77.91
　　,錦泰里,972,1,5,40,0,8,5,174,539,4,776,5,781,0,781,293,"1,074",72.72
　　,錦泰里,973,0,1,47,1,10,11,227,614,5,916,15,931,0,931,282,"1,213",76.75
　　,錦泰里,974,0,2,62,0,11,7,296,586,4,968,14,982,0,982,254,"1,236",79.45
　　,錦華里,975,1,7,77,1,16,7,322,710,3,"1,144",23,"1,167",1,"1,168",268,"1,436",81.27
　　,錦華里,976,1,3,55,2,12,11,365,656,3,"1,108",22,"1,130",0,"1,130",274,"1,404",80.48
　　,錦華里,977,2,1,52,2,14,14,291,660,7,"1,043",10,"1,053",0,"1,053",305,"1,358",77.54
　　,龍圖里,978,2,2,57,0,11,7,234,618,4,935,18,953,0,953,320,"1,273",74.86
　　,龍圖里,979,3,4,66,1,8,11,332,619,6,"1,050",15,"1,065",0,"1,065",331,"1,396",76.29
　　,龍圖里,980,2,2,70,0,10,10,313,601,3,"1,011",15,"1,026",0,"1,026",337,"1,363",75.28
　　,龍圖里,981,2,3,59,1,13,10,337,722,4,"1,151",12,"1,163",0,"1,163",372,"1,535",75.77
　　,新龍里,982,1,1,84,2,9,17,289,637,8,"1,048",19,"1,067",0,"1,067",316,"1,383",77.15
　　,新龍里,983,2,1,60,0,13,10,125,775,5,991,11,"1,002",0,"1,002",328,"1,330",75.34
　　,新龍里,984,0,2,64,0,12,15,235,699,0,"1,027",16,"1,043",0,"1,043",254,"1,297",80.42
　　,新龍里,985,1,1,78,5,19,12,210,705,1,"1,032",16,"1,048",0,"1,048",314,"1,362",76.95
　　,龍陣里,986,1,2,61,0,11,15,334,609,4,"1,037",12,"1,049",0,"1,049",331,"1,380",76.01
　　,龍陣里,987,6,0,71,3,11,13,362,699,1,"1,166",19,"1,185",0,"1,185",376,"1,561",75.91
　　,龍雲里,988,3,4,49,1,11,14,299,614,6,"1,001",15,"1,016",0,"1,016",291,"1,307",77.74
　　,龍雲里,989,1,2,63,0,11,10,397,600,3,"1,087",20,"1,107",0,"1,107",303,"1,410",78.51
