第8屆區域立法委員選舉臺北市第8選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
阮昭雄
民主進步黨","2
方景鈞
無黨籍及未經政黨推薦","3
李敖
親民黨","4
余宛如
綠黨","5
賴士葆
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"53,917",907,"9,436","3,715","117,892","185,867","1,806","187,673",22,"187,695","52,662","240,357",78.08
　中正區,,,"8,735",104,"1,464",655,"16,235","27,193",316,"27,509",0,"27,509","8,307","35,816",76.81
　　,水源里,"1,387",318,2,49,21,551,941,15,956,0,956,336,"1,292",73.99
　　,水源里,"1,388",379,5,49,25,483,941,11,952,0,952,316,"1,268",75.08
　　,富水里,"1,389",131,3,59,14,709,916,3,919,0,919,302,"1,221",75.27
　　,富水里,"1,390",192,5,42,17,565,821,13,834,0,834,273,"1,107",75.34
　　,文盛里,"1,391",384,1,42,22,495,944,5,949,0,949,252,"1,201",79.02
　　,文盛里,"1,392",252,5,48,12,451,768,5,773,0,773,246,"1,019",75.86
　　,林興里,"1,393",263,5,44,20,549,881,12,893,0,893,303,"1,196",74.67
　　,林興里,"1,394",296,9,51,18,615,989,15,"1,004",0,"1,004",281,"1,285",78.13
　　,林興里,"1,395",289,2,52,23,637,"1,003",10,"1,013",0,"1,013",360,"1,373",73.78
　　,河堤里,"1,396",301,5,52,26,573,957,9,966,0,966,301,"1,267",76.24
　　,河堤里,"1,397",284,3,62,17,548,914,6,920,0,920,285,"1,205",76.35
　　,河堤里,"1,398",262,1,73,26,573,935,17,952,0,952,330,"1,282",74.26
　　,頂東里,"1,399",416,1,67,30,710,"1,224",11,"1,235",0,"1,235",359,"1,594",77.48
　　,頂東里,"1,400",416,2,55,32,639,"1,144",17,"1,161",0,"1,161",332,"1,493",77.76
　　,頂東里,"1,401",258,1,39,14,439,751,6,757,0,757,231,988,76.62
　　,頂東里,"1,402",252,6,49,19,420,746,16,762,0,762,221,983,77.52
　　,網溪里,"1,403",351,3,70,27,733,"1,184",12,"1,196",0,"1,196",362,"1,558",76.77
　　,網溪里,"1,404",412,5,62,26,668,"1,173",9,"1,182",0,"1,182",370,"1,552",76.16
　　,網溪里,"1,405",417,1,64,36,743,"1,261",11,"1,272",0,"1,272",404,"1,676",75.89
　　,板溪里,"1,406",383,2,59,34,652,"1,130",15,"1,145",0,"1,145",312,"1,457",78.59
　　,板溪里,"1,407",326,3,63,31,613,"1,036",13,"1,049",0,"1,049",355,"1,404",74.72
　　,螢圃里,"1,408",333,5,65,25,815,"1,243",19,"1,262",0,"1,262",329,"1,591",79.32
　　,螢圃里,"1,409",367,5,61,27,581,"1,041",15,"1,056",0,"1,056",300,"1,356",77.88
　　,螢圃里,"1,410",437,7,39,31,749,"1,263",21,"1,284",0,"1,284",347,"1,631",78.72
　　,螢雪里,"1,411",366,3,53,22,626,"1,070",13,"1,083",0,"1,083",275,"1,358",79.75
　　,螢雪里,"1,412",332,4,57,32,526,951,8,959,0,959,248,"1,207",79.45
　　,螢雪里,"1,413",318,10,38,28,572,966,9,975,0,975,277,"1,252",77.88
　文山區,,,"45,182",803,"7,972","3,060","101,657","158,674","1,490","160,164",22,"160,186","44,355","204,541",78.30
　　,景行里,"1,249",489,18,67,19,705,"1,298",14,"1,312",0,"1,312",396,"1,708",76.81
　　,景行里,"1,250",533,25,50,13,645,"1,266",16,"1,282",0,"1,282",397,"1,679",76.35
　　,景行里,"1,251",483,32,49,33,770,"1,367",14,"1,381",0,"1,381",368,"1,749",78.96
　　,景東里,"1,252",245,12,46,12,641,956,27,983,0,983,288,"1,271",77.34
　　,景東里,"1,253",306,8,46,19,820,"1,199",9,"1,208",0,"1,208",325,"1,533",78.80
　　,景東里,"1,254",293,9,50,23,781,"1,156",6,"1,162",0,"1,162",293,"1,455",79.86
　　,景東里,"1,255",276,11,59,12,699,"1,057",9,"1,066",0,"1,066",311,"1,377",77.41
　　,景美里,"1,256",347,6,66,23,775,"1,217",8,"1,225",0,"1,225",300,"1,525",80.33
　　,景美里,"1,257",350,7,54,15,657,"1,083",6,"1,089",0,"1,089",313,"1,402",77.67
　　,景美里,"1,258",285,11,42,22,550,910,9,919,0,919,247,"1,166",78.82
　　,景慶里,"1,259",323,5,48,20,661,"1,057",12,"1,069",1,"1,070",314,"1,384",77.24
　　,景慶里,"1,260",327,4,41,21,637,"1,030",13,"1,043",0,"1,043",275,"1,318",79.14
　　,景慶里,"1,261",307,7,40,21,672,"1,047",8,"1,055",0,"1,055",282,"1,337",78.91
　　,景慶里,"1,262",386,10,55,24,587,"1,062",10,"1,072",0,"1,072",271,"1,343",79.82
　　,景仁里,"1,263",347,10,54,25,574,"1,010",11,"1,021",0,"1,021",274,"1,295",78.84
　　,景仁里,"1,264",248,12,40,12,674,986,6,992,0,992,228,"1,220",81.31
　　,景仁里,"1,265",293,1,44,20,602,960,14,974,0,974,223,"1,197",81.37
　　,景華里,"1,266",416,11,63,25,905,"1,420",11,"1,431",0,"1,431",353,"1,784",80.21
　　,景華里,"1,267",332,8,79,24,751,"1,194",9,"1,203",0,"1,203",326,"1,529",78.68
