第8屆區域立法委員選舉臺南市第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
謝龍介
中國國民黨","2
陳亭妃
民主進步黨","3
陳源奇
健保免費連線",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"84,095","139,301","2,488","225,884","3,098","228,982",7,"228,989","76,211","305,200",75.03
　安南區,,,"32,061","68,505","1,085","101,651","1,315","102,966",2,"102,968","35,265","138,233",74.49
　　,東和里,613,218,483,8,709,9,718,0,718,227,945,75.98
　　,塭南里,614,465,"1,071",20,"1,556",23,"1,579",0,"1,579",543,"2,122",74.41
　　,塭南里,615,457,962,15,"1,434",18,"1,452",0,"1,452",531,"1,983",73.22
　　,州南里,616,361,909,11,"1,281",9,"1,290",0,"1,290",462,"1,752",73.63
　　,州南里,617,363,690,14,"1,067",11,"1,078",0,"1,078",357,"1,435",75.12
　　,州南里,618,312,545,9,866,11,877,1,878,316,"1,194",73.45
　　,安順里,619,423,745,14,"1,182",13,"1,195",0,"1,195",436,"1,631",73.27
　　,安順里,620,571,"1,125",16,"1,712",28,"1,740",0,"1,740",512,"2,252",77.26
　　,州北里,621,406,877,8,"1,291",20,"1,311",0,"1,311",413,"1,724",76.04
　　,州北里,622,555,"1,046",7,"1,608",14,"1,622",0,"1,622",558,"2,180",74.40
　　,新順里,623,460,742,19,"1,221",16,"1,237",0,"1,237",436,"1,673",73.94
　　,新順里,624,424,778,8,"1,210",15,"1,225",0,"1,225",384,"1,609",76.13
　　,新順里,625,441,876,17,"1,334",9,"1,343",0,"1,343",417,"1,760",76.31
　　,頂安里,626,204,826,14,"1,044",17,"1,061",0,"1,061",295,"1,356",78.24
　　,頂安里,627,444,963,13,"1,420",19,"1,439",0,"1,439",483,"1,922",74.87
　　,安慶里,628,348,851,12,"1,211",21,"1,232",0,"1,232",340,"1,572",78.37
　　,安慶里,629,406,"1,037",17,"1,460",19,"1,479",0,"1,479",459,"1,938",76.32
　　,安慶里,630,371,762,11,"1,144",11,"1,155",0,"1,155",363,"1,518",76.09
　　,溪北里,631,266,678,8,952,11,963,0,963,235,"1,198",80.38
　　,溪北里,632,443,605,13,"1,061",10,"1,071",0,"1,071",321,"1,392",76.94
　　,安和里,633,470,"1,037",11,"1,518",24,"1,542",0,"1,542",493,"2,035",75.77
　　,安西里,634,280,696,11,987,14,"1,001",0,"1,001",271,"1,272",78.69
　　,安西里,635,330,716,12,"1,058",7,"1,065",0,"1,065",329,"1,394",76.40
　　,溪頂里,636,357,757,13,"1,127",18,"1,145",0,"1,145",383,"1,528",74.93
　　,溪頂里,637,362,661,12,"1,035",4,"1,039",0,"1,039",312,"1,351",76.91
　　,溪頂里,638,352,499,11,862,17,879,0,879,283,"1,162",75.65
　　,安東里,639,323,748,13,"1,084",9,"1,093",0,"1,093",331,"1,424",76.76
　　,安東里,640,230,731,13,974,18,992,0,992,305,"1,297",76.48
　　,鳳凰里,641,522,953,13,"1,488",20,"1,508",0,"1,508",681,"2,189",68.89
　　,鳳凰里,642,491,868,15,"1,374",20,"1,394",0,"1,394",530,"1,924",72.45
　　,梅花里,643,481,954,8,"1,443",19,"1,462",0,"1,462",531,"1,993",73.36
　　,梅花里,644,442,786,3,"1,231",9,"1,240",0,"1,240",470,"1,710",72.51
　　,理想里,645,452,"1,093",11,"1,556",18,"1,574",0,"1,574",467,"2,041",77.12
