第8屆區域立法委員選舉高雄市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林宏明
無黨籍及未經政黨推薦","2
董桂如
健保免費連線","3
羅世雄
中國國民黨","4
管碧玲
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,917,"1,242","70,896","92,043","165,098","1,994","167,092",1,"167,093","52,863","219,956",75.97
　鼓山區,,,342,578,"37,469","39,244","77,633",927,"78,560",0,"78,560","24,837","103,397",75.98
　　,鼓峰里,880,4,7,435,280,726,10,736,0,736,250,986,74.65
　　,鼓峰里,881,3,9,452,302,766,13,779,0,779,224,"1,003",77.67
　　,雄峰里,882,0,8,519,182,709,13,722,0,722,235,957,75.44
　　,雄峰里,883,2,6,549,249,806,7,813,0,813,228,"1,041",78.10
　　,前峰里,884,3,8,553,596,"1,160",9,"1,169",0,"1,169",345,"1,514",77.21
　　,前峰里,885,9,3,642,450,"1,104",17,"1,121",0,"1,121",264,"1,385",80.94
　　,前峰里,886,2,7,680,308,997,9,"1,006",0,"1,006",254,"1,260",79.84
　　,光榮里,887,4,10,250,549,813,6,819,0,819,283,"1,102",74.32
　　,光榮里,888,4,5,355,569,933,10,943,0,943,285,"1,228",76.79
　　,光榮里,889,7,1,365,599,972,13,985,0,985,215,"1,200",82.08
　　,民族里,890,2,10,471,579,"1,062",17,"1,079",0,"1,079",233,"1,312",82.24
　　,內惟里,891,6,3,299,569,877,10,887,0,887,240,"1,127",78.70
　　,建國里,892,3,4,440,586,"1,033",11,"1,044",0,"1,044",273,"1,317",79.27
　　,建國里,893,3,5,314,419,741,7,748,0,748,182,930,80.43
　　,忠正里,894,2,10,417,565,994,11,"1,005",0,"1,005",310,"1,315",76.43
　　,忠正里,895,3,12,367,571,953,19,972,0,972,312,"1,284",75.70
　　,忠正里,896,3,6,407,469,885,12,897,0,897,254,"1,151",77.93
　　,自強里,897,2,3,570,35,610,3,613,0,613,158,771,79.51
　　,龍井里,898,4,7,439,544,994,14,"1,008",0,"1,008",358,"1,366",73.79
　　,正德里,899,2,7,538,864,"1,411",16,"1,427",0,"1,427",412,"1,839",77.60
　　,平和里,900,4,7,435,819,"1,265",12,"1,277",0,"1,277",383,"1,660",76.93
　　,平和里,901,4,12,475,784,"1,275",12,"1,287",0,"1,287",340,"1,627",79.10
　　,民強里,902,6,8,371,695,"1,080",10,"1,090",0,"1,090",261,"1,351",80.68
　　,民強里,903,1,4,387,682,"1,074",15,"1,089",0,"1,089",270,"1,359",80.13
　　,厚生里,904,5,12,378,624,"1,019",7,"1,026",0,"1,026",293,"1,319",77.79
　　,厚生里,905,3,6,441,821,"1,271",16,"1,287",0,"1,287",351,"1,638",78.57
　　,龍子里,906,3,11,539,677,"1,230",14,"1,244",0,"1,244",385,"1,629",76.37
　　,龍子里,907,4,10,745,490,"1,249",11,"1,260",0,"1,260",379,"1,639",76.88
　　,龍子里,908,10,7,559,775,"1,351",22,"1,373",0,"1,373",447,"1,820",75.44
　　,龍子里,909,7,10,660,708,"1,385",19,"1,404",0,"1,404",452,"1,856",75.65
　　,龍子里,910,8,8,600,620,"1,236",13,"1,249",0,"1,249",439,"1,688",73.99
　　,龍子里,911,8,15,678,675,"1,376",19,"1,395",0,"1,395",453,"1,848",75.49
　　,龍子里,912,6,6,618,599,"1,229",14,"1,243",0,"1,243",466,"1,709",72.73
　　,龍水里,913,4,8,729,508,"1,249",10,"1,259",0,"1,259",397,"1,656",76.03
　　,龍水里,914,9,6,777,604,"1,396",21,"1,417",0,"1,417",491,"1,908",74.27
　　,龍水里,915,2,10,687,647,"1,346",26,"1,372",0,"1,372",420,"1,792",76.56
　　,龍水里,916,5,7,576,607,"1,195",14,"1,209",0,"1,209",323,"1,532",78.92
　　,龍水里,917,6,9,627,570,"1,212",7,"1,219",0,"1,219",411,"1,630",74.79
　　,龍水里,918,8,13,753,642,"1,416",21,"1,437",0,"1,437",436,"1,873",76.72
