第8屆區域立法委員選舉臺北市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
周守訓
中國國民黨","2
王美崴
人民最大黨","3
姚文智
民主進步黨","4
夏林清
人民民主陣線","5
傅文忠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"96,119","1,154","99,229","1,364",405,"198,271","2,428","200,699",24,"200,723","58,575","259,298",77.40
　士林區,,,"60,544",710,"59,124",898,234,"121,510","1,452","122,962",13,"122,975","35,890","158,865",77.40
　　,仁勇里,244,605,10,709,8,4,"1,336",12,"1,348",2,"1,350",414,"1,764",76.42
　　,仁勇里,245,619,2,557,8,1,"1,187",8,"1,195",0,"1,195",328,"1,523",78.46
　　,義信里,246,578,4,450,6,2,"1,040",11,"1,051",0,"1,051",310,"1,361",77.22
　　,義信里,247,545,5,432,6,6,994,18,"1,012",0,"1,012",334,"1,346",75.19
　　,福林里,248,329,1,120,9,5,464,5,469,0,469,149,618,75.89
　　,福林里,249,256,0,176,1,1,434,4,438,0,438,162,600,73.00
　　,福林里,250,538,3,506,10,0,"1,057",14,"1,071",0,"1,071",308,"1,379",77.66
　　,福德里,251,547,3,470,7,1,"1,028",14,"1,042",0,"1,042",287,"1,329",78.40
　　,福德里,252,556,10,408,4,0,978,15,993,0,993,349,"1,342",73.99
　　,福德里,253,539,6,409,4,1,959,13,972,0,972,"1,435","2,407",40.38
　　,福志里,254,694,5,343,16,7,"1,065",14,"1,079",0,"1,079",335,"1,414",76.31
　　,福志里,255,848,2,382,16,2,"1,250",7,"1,257",0,"1,257",329,"1,586",79.26
　　,福志里,256,630,4,541,15,3,"1,193",16,"1,209",0,"1,209",329,"1,538",78.61
　　,福志里,257,731,9,641,13,3,"1,397",20,"1,417",0,"1,417",327,"1,744",81.25
　　,舊佳里,258,757,3,641,15,1,"1,417",15,"1,432",0,"1,432",358,"1,790",80.00
　　,舊佳里,259,624,7,627,4,1,"1,263",16,"1,279",0,"1,279",324,"1,603",79.79
　　,舊佳里,260,661,12,575,11,2,"1,261",22,"1,283",0,"1,283",414,"1,697",75.60
　　,福佳里,261,619,9,479,13,1,"1,121",18,"1,139",1,"1,140",310,"1,450",78.55
